QXO PE Ratio Historical Data,QXO PE Ratio Historical Data,QXO PE Ratio Historical Data,QXO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.42,,0.0
2024-06-30,71.76,$-12.31,0.0
2024-03-31,87.88,$-1.76,0.0
2023-12-31,114.0,$-1.60,0.0
2023-09-30,21.85,$-2.24,0.0
2023-06-30,21.36,$0.72,29.66
2023-03-31,19.33,0,0.0
2022-12-31,18.76,$-0.48,0.0
2022-09-30,17.81,$-1.12,0.0
2022-06-30,17.18,$-1.28,0.0
2022-03-31,20.66,$-0.88,0.0
2021-12-31,28.33,$-0.24,0.0
2021-09-30,38.47,$0.40,96.18
2021-06-30,73.23,$0.88,83.21
2021-03-31,45.97,$0.72,63.85
2020-12-31,17.21,$-0.32,0.0
2020-09-30,14.24,$-0.32,0.0
2020-06-30,10.8,$13.20,0.82
2020-03-31,10.23,$13.12,0.78
2019-12-31,20.93,$13.76,1.52
2019-09-30,17.08,$15.12,1.13
2019-06-30,14.19,$1.84,7.71
2019-03-31,14.43,$1.84,7.84
2018-12-31,10.89,$1.76,6.19
2018-09-30,18.4,$-1.52,0.0
2018-06-30,19.46,$-1.28,0.0
2018-03-31,17.6,$-1.04,0.0
