Enpro PE Ratio Historical Data,Enpro PE Ratio Historical Data,Enpro PE Ratio Historical Data,Enpro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,158.17,,78.3
2024-06-30,145.28,$2.02,71.92
2024-03-31,168.43,$-0.14,0.0
2023-12-31,156.11,$1.06,147.28
2023-09-30,120.43,$7.40,16.27
2023-06-30,132.41,$8.30,15.95
2023-03-31,102.73,$10.78,9.53
2022-12-31,107.19,$9.76,10.98
2022-09-30,83.6,$8.57,9.76
2022-06-30,80.36,$8.61,9.33
2022-03-31,95.58,$8.43,11.34
2021-12-31,107.36,$8.53,12.59
2021-09-30,84.75,$3.22,26.32
2021-06-30,94.21,$0.93,101.3
2021-03-31,82.45,$-0.79,0.0
2020-12-31,72.79,$8.93,8.15
2020-09-30,54.17,$9.46,5.73
2020-06-30,47.13,$10.34,4.56
2020-03-31,37.63,$11.80,3.19
2019-12-31,63.27,$1.84,34.39
2019-09-30,64.69,$0.63,102.68
2019-06-30,59.9,$1.87,32.03
2019-03-31,60.23,$1.19,50.61
2018-12-31,56.16,$1.14,49.27
2018-09-30,68.15,$3.28,20.78
2018-06-30,65.16,$24.61,2.65
2018-03-31,71.84,$24.55,2.93
2017-12-31,86.54,$24.27,3.57
2017-09-30,74.34,$23.06,3.22
2017-06-30,65.68,$0.85,77.27
2017-03-31,65.27,$0.61,107.01
2016-12-31,61.58,$-1.84,0.0
2016-09-30,51.77,$-1.40,0.0
2016-06-30,40.29,$-1.17,0.0
2016-03-31,52.13,$-3.00,0.0
2015-12-31,39.48,$-0.92,0.0
2015-09-30,35.14,$-1.07,0.0
2015-06-30,51.1,$-1.25,0.0
2015-03-31,58.71,$0.73,80.43
2014-12-31,55.7,$0.85,65.53
2014-09-30,53.72,$0.92,58.39
2014-06-30,64.93,$0.82,79.19
2014-03-31,64.5,$0.85,75.88
2013-12-31,51.17,$1.07,47.82
2013-09-30,53.44,$1.38,38.72
2013-06-30,45.05,$1.62,27.81
2012-12-31,36.3,$1.91,19.01
2012-09-30,31.96,$1.76,18.16
2012-06-30,33.17,$1.62,20.47
2012-03-31,36.48,$1.81,20.15
2011-12-31,29.27,$1.73,16.92
2013-03-31,45.42,$2.32,19.58
2011-09-30,26.34,$2.23,11.81
2011-06-30,42.66,$1.81,23.57
2011-03-31,32.24,$3.45,9.34
2010-12-31,36.89,$7.57,4.87
2010-09-30,27.76,$5.34,5.2
2010-06-30,24.98,$5.19,4.81
2010-03-31,25.81,$-2.30,0.0
2009-12-31,23.44,$-6.97,0.0
