JBG SMITH Properties PE Ratio Historical Data,JBG SMITH Properties PE Ratio Historical Data,JBG SMITH Properties PE Ratio Historical Data,JBG SMITH Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.53,,0.0
2024-06-30,15.07,$-1.56,0.0
2024-03-31,15.69,$-1.39,0.0
2023-12-31,16.46,$-0.84,0.0
2023-09-30,13.76,$-0.66,0.0
2023-06-30,14.09,$-0.25,0.0
2023-03-31,13.89,$0.87,15.97
2022-12-31,17.51,$0.68,25.75
2022-09-30,16.73,$0.40,41.83
2022-06-30,21.1,$0.57,37.01
2022-03-31,25.84,$-0.48,0.0
2021-12-31,25.39,$-0.64,0.0
2021-09-30,25.78,$-0.55,0.0
2021-06-30,27.23,$-0.73,0.0
2021-03-31,27.28,$-0.98,0.0
2020-12-31,26.83,$-0.50,0.0
2020-09-30,22.6,$0.11,205.43
2020-06-30,24.79,$0.35,70.84
2020-03-31,26.49,$0.60,44.15
2019-12-31,33.2,$0.48,69.17
2019-09-30,32.26,$0.22,146.66
2019-06-30,32.18,$0.35,91.94
2019-03-31,33.64,$0.55,61.17
2018-12-31,28.32,$0.31,91.36
2018-09-30,29.51,$0.17,173.61
2018-06-30,29.05,$-0.63,0.0
