TG Therapeutics PE Ratio Historical Data,TG Therapeutics PE Ratio Historical Data,TG Therapeutics PE Ratio Historical Data,TG Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.94,,39.25
2024-06-30,17.79,$0.61,29.16
2024-03-31,15.21,$0.23,66.13
2023-12-31,17.08,$0.02,854.0
2023-09-30,8.36,$-0.28,0.0
2023-06-30,24.84,$-1.27,0.0
2023-03-31,15.04,$-1.23,0.0
2022-12-31,11.83,$-1.46,0.0
2022-09-30,5.92,$-1.77,0.0
2022-06-30,4.25,$-2.16,0.0
2022-03-31,9.51,$-2.45,0.0
2021-12-31,19.0,$-2.63,0.0
2021-09-30,33.28,$-2.64,0.0
2021-06-30,38.79,$-2.72,0.0
2021-03-31,48.2,$-2.60,0.0
2020-12-31,52.02,$-2.39,0.0
2020-09-30,26.76,$-2.12,0.0
2020-06-30,19.48,$-2.08,0.0
2020-03-31,9.84,$-2.03,0.0
2019-12-31,11.1,$-1.98,0.0
2019-09-30,5.62,$-1.54,0.0
2019-06-30,8.65,$-1.28,0.0
2019-03-31,8.04,$-1.45,0.0
2018-12-31,4.1,$-1.61,0.0
2018-09-30,5.6,$-2.07,0.0
2018-06-30,13.15,$-2.12,0.0
2018-03-31,14.2,$-1.98,0.0
2017-12-31,8.2,$-1.91,0.0
2017-09-30,11.85,$-1.93,0.0
2017-06-30,10.05,$-1.95,0.0
2017-03-31,11.65,$-1.83,0.0
2016-12-31,4.65,$-1.59,0.0
2016-09-30,7.74,$-1.48,0.0
2016-06-30,6.06,$-1.26,0.0
2016-03-31,8.52,$-1.31,0.0
2015-12-31,11.93,$-1.42,0.0
2015-09-30,10.08,$-1.53,0.0
2015-06-30,16.59,$-1.76,0.0
2015-03-31,15.48,$-1.74,0.0
2014-12-31,15.84,$-1.60,0.0
2014-09-30,10.67,$-1.31,0.0
2014-06-30,9.39,$-0.96,0.0
2014-03-31,6.9,$-0.89,0.0
2013-12-31,3.9,$-0.81,0.0
2013-09-30,5.04,$-0.66,0.0
2013-06-30,6.39,$-0.66,0.0
2013-03-31,5.4,$-0.37,0.0
2012-12-31,3.64,$-0.20,0.0
2012-09-30,2.25,$-0.16,0.0
2012-06-30,6.25,$-8.99,0.0
2012-03-31,6.75,$-73.60,0.0
2011-12-31,1.13,$-71.91,0.0
2011-09-30,6.19,$-71.91,0.0
2011-06-30,28.13,$-62.92,0.0
2011-03-31,28.13,$57.87,0.49
