Safehold PE Ratio Historical Data,Safehold PE Ratio Historical Data,Safehold PE Ratio Historical Data,Safehold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.57,,0.0
2024-03-31,20.28,$-0.45,0.0
2023-12-31,22.83,$-0.81,0.0
2023-09-30,17.24,$-7.64,0.0
2023-06-30,22.75,$-4.96,0.0
2023-03-31,27.94,$-15.93,0.0
2022-12-31,44.32,$39.31,1.13
2022-09-30,42.04,$46.25,0.91
2022-06-30,61.69,$54.81,1.13
2022-03-31,104.58,$63.75,1.64
2021-12-31,114.82,$8.38,13.71
2021-09-30,110.92,$6.06,18.3
2021-06-30,91.25,$-3.56,0.0
2021-03-31,77.69,$-3.81,0.0
2020-12-31,64.49,$-5.50,0.0
2020-09-30,50.89,$-8.31,0.0
2020-06-30,52.62,$-8.88,0.0
2020-03-31,44.86,$21.50,2.09
2019-12-31,60.95,$21.63,2.82
2019-09-30,54.38,$15.44,3.52
2019-06-30,51.34,$14.44,3.56
2019-03-31,34.41,$-10.63,0.0
2018-12-31,37.09,$-6.81,0.0
2018-09-30,44.8,$3.38,13.27
2018-06-30,42.9,$2.13,20.19
2018-03-31,40.43,$11.50,3.52
2017-12-31,44.92,$9.73,4.62
2017-09-30,46.91,$7.80,6.02
2017-06-30,47.87,$9.11,5.26
2024-06-30,19.16,$-0.89,0.0
2017-03-31,46.91,$1.00,46.91
2016-12-31,49.18,$1.69,29.14
2016-09-30,42.66,$3.94,10.83
2016-06-30,38.13,$0.75,50.83
2016-03-31,38.4,$-3.81,0.0
2015-12-31,46.63,$-3.75,0.0
2015-09-30,50.01,$-6.38,0.0
2015-06-30,52.96,$-4.63,0.0
2015-03-31,51.68,$-3.56,0.0
2014-12-31,54.27,$-3.88,0.0
2014-09-30,53.67,$-6.06,0.0
2014-06-30,59.55,$-9.63,0.0
2014-03-31,58.68,$-10.38,0.0
2013-12-31,56.73,$-11.50,0.0
2013-09-30,47.87,$-13.75,0.0
2013-06-30,44.88,$-16.88,0.0
2013-03-31,43.29,$-19.31,0.0
2012-12-31,32.4,$-20.38,0.0
2012-09-30,32.92,$-16.56,0.0
2012-06-30,25.64,$-15.63,0.0
2012-03-31,28.82,$-13.63,0.0
2011-12-31,21.03,$-5.06,0.0
2011-09-30,23.14,$-6.94,0.0
2011-06-30,32.24,$-8.06,0.0
2011-03-31,36.5,$8.50,4.29
2010-12-31,31.09,$2.38,13.09
2010-09-30,12.17,$-3.38,0.0
2010-06-30,17.73,$-13.75,0.0
2010-03-31,18.25,$-46.31,0.0
2009-12-31,10.18,$-50.31,0.0
