AECOM PE Ratio Historical Data,AECOM PE Ratio Historical Data,AECOM PE Ratio Historical Data,AECOM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,107.55,,57.82
2024-06-30,87.73,$1.86,47.17
2024-03-31,97.39,$-0.09,0.0
2023-12-31,91.56,$0.45,203.46
2023-09-30,82.07,$0.39,210.44
2023-06-30,83.53,$0.96,87.01
2023-03-31,82.98,$2.65,31.31
2022-12-31,83.4,$2.39,34.9
2022-09-30,67.0,$2.19,30.59
2022-06-30,63.76,$2.10,30.36
2022-03-31,74.95,$1.46,51.33
2021-12-31,75.33,$1.43,52.68
2021-09-30,61.5,$1.17,52.56
2021-06-30,61.66,$-0.93,0.0
2021-03-31,62.43,$-0.46,0.0
2020-12-31,48.48,$-1.26,0.0
2020-09-30,40.75,$-1.18,0.0
2020-06-30,36.6,$-2.75,0.0
2020-03-31,29.07,$-2.78,0.0
2019-12-31,42.0,$-1.75,0.0
2019-09-30,36.58,$-1.68,0.0
2019-06-30,36.86,$1.85,19.92
2019-03-31,28.89,$1.70,17.0
2018-12-31,25.81,$0.46,56.1
2018-09-30,31.81,$0.83,38.32
2018-06-30,32.17,$0.86,37.4
2018-03-31,34.7,$1.13,30.71
2017-12-31,36.18,$2.53,14.3
2017-09-30,35.85,$2.14,16.75
2017-06-30,31.48,$1.64,19.2
2017-03-31,34.66,$1.43,24.24
2016-12-31,35.41,$1.05,33.72
2016-09-30,28.95,$0.62,46.7
2016-06-30,30.94,$0.58,53.34
2016-03-31,29.99,$0.04,749.63
2015-12-31,29.25,$-0.23,0.0
2015-09-30,26.79,$-0.83,0.0
2015-06-30,32.22,$-0.20,0.0
2015-03-31,30.01,$0.61,49.2
2014-12-31,29.58,$1.02,29.0
2014-09-30,32.87,$2.33,14.11
2014-06-30,31.36,$2.46,12.75
2014-03-31,31.33,$2.46,12.74
2013-12-31,28.66,$2.58,11.11
2013-09-30,30.45,$2.36,12.9
2013-06-30,30.96,$-0.46,0.0
2013-03-31,31.94,$-0.53,0.0
2012-12-31,23.18,$-0.63,0.0
2012-09-30,20.61,$-0.57,0.0
2012-06-30,16.02,$2.23,7.18
2012-03-31,21.79,$2.22,9.81
2011-12-31,20.03,$2.28,8.79
2011-09-30,17.21,$2.34,7.35
2011-06-30,26.63,$2.17,12.27
2011-03-31,27.01,$2.11,12.8
2010-12-31,27.24,$2.13,12.79
2010-09-30,23.63,$2.05,11.52
2010-06-30,22.46,$1.95,11.52
2010-03-31,27.63,$1.85,14.93
2009-12-31,26.78,$1.74,15.39
