PriceSmart PE Ratio Historical Data,PriceSmart PE Ratio Historical Data,PriceSmart PE Ratio Historical Data,PriceSmart PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,93.24,,22.63
2024-05-31,83.58,$4.12,20.29
2024-02-29,82.55,$3.98,20.74
2023-11-30,65.64,$3.69,17.79
2023-08-31,77.42,$3.20,24.19
2023-05-31,70.18,$3.33,21.07
2023-02-28,67.51,$3.42,19.74
2022-08-31,60.88,$3.38,18.01
2022-05-31,75.17,$3.26,23.06
2022-02-28,69.52,$3.37,20.63
2021-11-30,68.15,$3.26,20.9
2021-08-31,80.39,$3.18,25.28
2021-05-31,83.55,$3.20,26.11
2021-02-28,91.26,$2.88,31.69
2020-11-30,76.64,$2.81,27.28
2020-08-31,62.0,$2.55,24.31
2020-05-31,51.01,$2.57,19.85
2020-02-29,52.24,$2.62,19.94
2019-11-30,69.71,$2.56,27.23
2019-08-31,56.36,$2.97,18.98
2019-05-31,45.05,$2.78,16.21
2019-02-28,59.94,$2.95,20.32
2022-11-30,68.35,$2.77,24.68
2018-11-30,61.65,$2.19,28.15
2018-08-31,80.04,$2.45,32.67
2018-05-31,77.69,$2.46,31.58
2018-02-28,72.27,$2.47,29.26
2017-11-30,78.12,$2.90,26.94
2017-08-31,74.24,$2.98,24.91
2017-05-31,80.29,$3.08,26.07
2017-02-28,80.43,$3.01,26.72
2016-11-30,82.74,$2.96,27.95
2016-08-31,75.7,$2.92,25.92
2016-05-31,79.94,$2.93,27.28
2016-02-29,69.72,$3.08,22.64
2015-11-30,83.7,$3.05,27.44
2015-08-31,76.34,$2.95,25.88
2015-05-31,72.95,$2.93,24.9
2015-02-28,71.07,$2.93,24.26
2014-11-30,86.39,$3.04,28.42
2014-08-31,79.85,$3.07,26.01
2014-05-31,81.32,$3.03,26.84
2014-02-28,90.27,$2.94,30.7
2013-11-30,110.32,$2.83,38.98
2013-08-31,76.0,$2.78,27.34
2013-05-31,74.4,$2.67,27.86
2013-02-28,65.34,$2.58,25.32
2012-11-30,68.05,$2.43,28.0
2012-08-31,64.2,$2.24,28.66
2012-05-31,59.07,$2.08,28.4
2012-02-29,56.49,$2.11,26.77
2011-11-30,59.06,$2.04,28.95
2011-08-31,56.98,$2.07,27.53
2011-05-31,40.4,$2.09,19.33
2011-02-28,30.82,$1.94,15.89
2010-11-30,28.84,$1.80,16.02
2010-08-31,22.17,$1.65,13.44
2010-05-31,20.43,$1.56,13.1
2010-02-28,18.09,$1.46,12.39
2009-11-30,15.8,$1.43,11.05
