Atmos Energy PE Ratio Historical Data,Atmos Energy PE Ratio Historical Data,Atmos Energy PE Ratio Historical Data,Atmos Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,130.74,,19.2
2024-06-30,115.93,$6.81,17.02
2024-03-31,117.3,$6.67,17.59
2023-12-31,113.56,$6.30,18.03
2023-09-30,103.05,$6.13,16.81
2023-06-30,112.47,$5.84,19.26
2023-03-31,107.93,$5.82,18.55
2022-12-31,106.97,$5.71,18.73
2022-09-30,96.62,$5.66,17.07
2022-06-30,105.73,$5.52,19.15
2022-03-31,112.02,$5.38,20.82
2021-12-31,97.6,$5.31,18.38
2021-09-30,81.57,$5.16,15.81
2021-06-30,88.32,$5.32,16.6
2021-03-31,90.27,$5.50,16.41
2020-12-31,86.56,$5.15,16.81
2020-09-30,86.15,$4.91,17.55
2020-06-30,89.24,$4.87,18.32
2020-03-31,88.41,$4.59,19.26
2019-12-31,99.18,$4.46,22.24
2019-09-30,100.44,$4.37,22.98
2019-06-30,92.65,$4.23,21.9
2019-03-31,89.88,$4.19,21.45
2018-12-31,80.54,$3.97,20.29
2018-09-30,81.14,$5.48,14.81
2018-06-30,77.47,$5.47,14.16
2018-03-31,71.99,$5.50,13.09
2017-12-31,72.97,$5.45,13.39
2017-09-30,70.84,$3.75,18.89
2017-06-30,69.73,$3.74,18.64
2017-03-31,66.03,$3.76,17.56
2016-12-31,61.63,$3.59,17.17
2016-09-30,61.51,$3.40,18.09
2016-06-30,66.8,$3.30,20.24
2016-03-31,60.65,$3.16,19.19
2015-12-31,51.18,$3.13,16.35
2015-09-30,46.92,$2.36,19.88
2015-06-30,41.07,$2.58,15.92
2015-03-31,43.97,$3.41,12.89
2014-09-30,37.37,$3.01,12.42
2014-06-30,41.53,$2.86,14.52
2014-03-31,36.39,$3.37,10.8
2013-12-31,34.78,$2.41,14.43
2013-09-30,32.35,$2.73,11.85
2014-12-31,43.99,$3.53,12.46
2013-06-30,30.93,$2.66,11.63
2013-03-31,31.9,$2.58,12.36
2012-12-31,26.0,$2.51,10.36
2012-09-30,26.23,$2.38,11.02
2012-06-30,25.45,$2.31,11.02
2012-03-31,22.59,$1.96,11.52
2011-12-31,23.69,$2.21,10.72
2011-09-30,22.81,$2.27,10.05
2011-06-30,23.12,$2.27,10.19
2011-03-31,23.47,$2.25,10.43
2010-12-31,21.26,$2.03,10.47
2010-09-30,19.71,$2.22,8.88
2010-06-30,18.0,$2.03,8.87
2010-03-31,18.78,$2.08,9.03
2009-12-31,19.09,$2.26,8.45
