CVB Financial PE Ratio Historical Data,CVB Financial PE Ratio Historical Data,CVB Financial PE Ratio Historical Data,CVB Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.77,,13.36
2024-06-30,16.86,$1.48,11.39
2024-03-31,17.24,$1.52,11.34
2023-12-31,19.32,$1.59,12.15
2023-09-30,15.65,$1.71,9.15
2023-06-30,12.36,$1.75,7.06
2023-03-31,15.33,$1.77,8.66
2022-12-31,23.67,$1.66,14.26
2022-09-30,22.93,$1.54,14.89
2022-06-30,22.46,$1.45,15.49
2022-03-31,20.69,$1.41,14.68
2021-12-31,19.09,$1.57,12.16
2021-09-30,17.85,$1.59,11.23
2021-06-30,18.04,$1.57,11.49
2021-03-31,19.19,$1.50,12.79
2020-12-31,16.81,$1.30,12.93
2020-09-30,14.05,$1.30,10.81
2020-06-30,15.67,$1.31,11.97
2020-03-31,16.61,$1.39,11.95
2019-12-31,17.73,$1.49,11.9
2019-09-30,17.0,$1.43,11.89
2019-06-30,16.98,$1.37,12.4
2019-03-31,16.86,$1.30,12.97
2018-12-31,16.09,$1.25,12.87
2018-09-30,17.64,$1.10,16.04
2018-06-30,17.61,$1.07,16.46
2018-03-31,17.67,$1.01,17.5
2017-12-31,18.28,$0.95,19.24
2017-09-30,18.65,$1.04,17.93
2017-06-30,17.2,$1.00,17.2
2017-03-31,16.84,$0.97,17.36
2016-12-31,17.39,$0.93,18.7
2016-09-30,13.27,$0.95,13.96
2016-06-30,12.25,$0.98,12.5
2016-03-31,12.96,$1.00,12.96
2015-12-31,12.56,$0.93,13.51
2015-09-30,12.23,$0.90,13.59
2015-06-30,12.81,$0.87,14.72
2015-03-31,11.59,$0.86,13.48
2014-12-31,11.56,$0.98,11.8
2014-09-30,10.22,$0.98,10.43
2014-06-30,11.42,$0.98,11.65
2014-03-31,11.19,$0.97,11.53
2013-12-31,12.01,$0.91,13.2
2013-09-30,9.46,$0.88,10.75
2013-06-30,8.1,$0.74,10.94
2013-03-31,7.7,$0.74,10.41
2012-12-31,7.11,$0.74,9.6
2012-09-30,8.03,$0.74,10.86
2012-06-30,7.78,$0.86,9.05
2012-03-31,7.79,$0.83,9.38
2011-12-31,6.6,$0.78,8.46
2011-09-30,5.0,$0.66,7.58
2011-06-30,6.01,$0.62,9.7
2011-03-31,6.0,$0.60,9.99
2010-12-31,5.53,$0.59,9.37
2010-09-30,4.74,$0.66,7.18
2010-06-30,5.93,$0.59,10.05
2010-03-31,6.15,$0.58,10.6
2009-12-31,5.3,$0.56,9.47
