Adtalem Global Education PE Ratio Historical Data,Adtalem Global Education PE Ratio Historical Data,Adtalem Global Education PE Ratio Historical Data,Adtalem Global Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,74.12,,21.55
2024-06-30,68.21,$3.44,19.83
2024-03-31,51.4,$2.66,19.32
2023-12-31,58.95,$2.73,21.59
2023-09-30,42.85,$2.27,18.88
2023-06-30,34.34,$2.07,16.59
2023-03-31,38.62,$1.75,22.07
2022-12-31,35.5,$7.84,4.53
2022-09-30,36.45,$7.68,4.75
2022-06-30,35.97,$6.46,5.57
2022-03-31,29.71,$6.46,4.6
2021-12-31,29.56,$-0.15,0.0
2021-09-30,37.81,$-0.07,0.0
2021-06-30,35.64,$1.48,24.08
2021-03-31,39.54,$-3.56,0.0
2020-12-31,33.95,$-1.21,0.0
2020-09-30,24.54,$-1.55,0.0
2020-06-30,31.15,$-1.67,0.0
2020-03-31,26.79,$4.05,6.61
2019-12-31,34.97,$1.86,18.8
2019-09-30,38.09,$2.05,18.58
2019-06-30,45.05,$1.63,27.64
2019-03-31,46.32,$1.79,25.88
2018-12-31,47.32,$1.78,26.58
2018-09-30,48.2,$0.16,301.25
2018-06-30,48.1,$0.52,92.5
2018-03-31,47.55,$0.17,279.71
2017-12-31,42.05,$0.16,262.81
2017-09-30,35.85,$1.72,20.84
2017-06-30,37.95,$1.91,19.87
2017-03-31,35.45,$1.08,32.82
2016-12-31,31.2,$1.27,24.57
2016-09-30,22.92,$0.25,91.69
2016-06-30,17.73,$-0.06,0.0
2016-03-31,17.0,$0.56,30.35
2015-12-31,24.91,$0.47,53.0
2015-09-30,26.58,$1.91,13.92
2015-06-30,29.28,$2.41,12.15
2015-03-31,32.41,$2.81,11.53
2014-12-31,46.11,$2.83,16.3
2014-06-30,40.98,$2.07,19.8
2014-03-31,40.86,$0.98,41.7
2013-12-31,34.22,$1.00,34.22
2013-09-30,29.32,$1.04,28.19
2013-06-30,29.76,$1.64,18.15
2013-03-31,30.29,$2.27,13.34
2012-12-31,22.64,$2.39,9.47
2012-09-30,21.57,$1.74,12.4
2012-06-30,29.35,$2.08,14.11
2012-03-31,31.92,$3.04,10.5
2011-12-31,36.25,$3.36,10.79
2011-09-30,34.68,$4.48,7.74
2011-06-30,55.49,$4.68,11.86
2011-03-31,51.57,$4.59,11.24
2010-12-31,44.93,$4.39,10.23
2010-09-30,45.96,$4.14,11.1
2010-06-30,49.02,$3.87,12.67
2010-03-31,60.79,$3.39,17.93
2009-12-31,52.89,$2.97,17.81
2009-09-30,51.48,$2.28,22.58
