Banc Of California PE Ratio Historical Data,Banc Of California PE Ratio Historical Data,Banc Of California PE Ratio Historical Data,Banc Of California PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.28,,0.0
2024-06-30,12.69,$-3.52,0.0
2024-03-31,14.99,$-3.33,0.0
2023-12-31,13.14,$-3.16,0.0
2023-09-30,12.03,$1.75,6.87
2023-06-30,11.16,$1.41,7.92
2023-03-31,11.98,$1.53,7.83
2022-12-31,15.12,$1.88,8.05
2022-09-30,15.1,$1.59,9.5
2022-06-30,16.61,$1.61,10.31
2022-03-31,18.18,$1.52,11.96
2021-12-31,18.37,$0.98,18.75
2021-09-30,17.26,$1.26,13.7
2021-06-30,16.32,$1.08,15.11
2021-03-31,16.76,$0.30,55.87
2020-12-31,13.6,$-0.04,0.0
2020-09-30,9.32,$-0.19,0.0
2020-06-30,9.92,$-0.88,0.0
2020-03-31,7.29,$-0.21,0.0
2019-12-31,15.57,$0.03,518.96
2019-09-30,12.77,$-0.04,0.0
2019-06-30,12.56,$0.48,26.17
2019-03-31,12.39,$0.43,28.82
2018-12-31,11.81,$0.44,26.85
2018-09-30,16.62,$0.43,38.65
2018-06-30,17.07,$0.59,28.94
2018-03-31,16.75,$0.55,30.45
2017-12-31,17.81,$0.72,24.73
2017-09-30,17.78,$1.14,15.6
2017-06-30,18.3,$1.50,12.2
2017-03-31,17.51,$1.79,9.78
2016-12-31,14.59,$1.95,7.48
2016-09-30,14.56,$1.70,8.57
2016-06-30,15.01,$1.43,10.5
2015-12-31,11.96,$1.29,9.27
2015-09-30,9.95,$1.15,8.65
2015-06-30,11.05,$1.22,9.06
2015-03-31,9.8,$1.21,8.1
2014-12-31,9.04,$1.19,7.6
2016-03-31,14.42,$0.93,15.51
2014-09-30,9.07,$0.69,13.14
2014-06-30,8.41,$-0.15,0.0
2014-03-31,9.37,$-0.06,0.0
2013-12-31,10.15,$-0.00,0.0
2013-09-30,10.37,$-0.42,0.0
2013-06-30,10.1,$0.90,11.22
2013-03-31,8.4,$0.45,18.67
2012-12-31,8.95,$0.40,22.37
2012-09-30,9.03,$0.18,50.17
2012-06-30,8.48,$-0.57,0.0
2012-03-31,8.44,$-0.32,0.0
2011-12-31,7.18,$-0.25,0.0
2011-09-30,7.85,$0.42,18.7
2011-06-30,10.19,$1.04,9.8
2011-03-31,10.84,$0.23,47.12
2010-12-31,8.98,$0.31,28.96
2010-09-30,7.18,$-0.04,0.0
2010-06-30,5.34,$-0.40,0.0
2010-03-31,5.15,$0.35,14.72
2009-12-31,3.52,$-0.48,0.0
