MannKind PE Ratio Historical Data,MannKind PE Ratio Historical Data,MannKind PE Ratio Historical Data,MannKind PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.6,,165.0
2024-06-30,5.22,$0.04,130.5
2024-03-31,4.53,$0.03,151.0
2023-12-31,3.64,$-0.05,0.0
2023-09-30,4.13,$-0.12,0.0
2023-06-30,4.07,$-0.19,0.0
2023-03-31,4.1,$-0.28,0.0
2022-12-31,5.27,$-0.34,0.0
2022-09-30,3.09,$-0.38,0.0
2022-06-30,3.81,$-0.34,0.0
2022-03-31,3.68,$-0.37,0.0
2021-12-31,4.37,$-0.32,0.0
2021-09-30,4.35,$-0.32,0.0
2021-06-30,5.45,$-0.35,0.0
2021-03-31,3.92,$-0.26,0.0
2020-12-31,3.13,$-0.25,0.0
2020-09-30,1.88,$-0.21,0.0
2020-06-30,1.75,$-0.21,0.0
2020-03-31,1.03,$-0.23,0.0
2019-12-31,1.29,$-0.27,0.0
2019-09-30,1.25,$-0.26,0.0
2019-06-30,1.15,$-0.37,0.0
2019-03-31,1.97,$-0.46,0.0
2018-12-31,1.06,$-0.63,0.0
2018-09-30,1.83,$-0.85,0.0
2018-06-30,1.9,$-1.00,0.0
2018-03-31,2.28,$-1.19,0.0
2017-12-31,2.32,$-1.11,0.0
2017-09-30,2.17,$-0.27,0.0
2017-06-30,1.41,$1.34,1.05
2017-03-31,1.48,$1.34,1.1
2016-12-31,3.18,$1.21,2.63
2016-09-30,3.1,$-2.65,0.0
2016-06-30,5.8,$-4.35,0.0
2016-03-31,8.05,$-4.35,0.0
2015-12-31,7.25,$-4.45,0.0
2015-09-30,16.05,$-1.60,0.0
2015-06-30,28.45,$-1.65,0.0
2015-03-31,26.0,$-2.25,0.0
2014-12-31,26.08,$-2.55,0.0
2014-09-30,29.55,$-2.90,0.0
2014-06-30,54.8,$-3.30,0.0
2014-03-31,20.1,$-3.15,0.0
2013-12-31,26.0,$-3.20,0.0
2013-09-30,28.5,$-3.55,0.0
2013-06-30,32.53,$-3.80,0.0
2013-03-31,16.95,$-4.15,0.0
2012-12-31,11.55,$-4.75,0.0
2012-09-30,14.4,$-5.10,0.0
2012-06-30,11.45,$-5.55,0.0
2012-03-31,12.35,$-6.25,0.0
2011-12-31,12.5,$-6.60,0.0
2011-09-30,18.95,$-6.75,0.0
2011-06-30,19.0,$-7.20,0.0
2011-03-31,18.2,$-7.20,0.0
2010-12-31,40.3,$-7.50,0.0
2010-09-30,33.8,$-8.50,0.0
2010-06-30,31.95,$-8.60,0.0
2010-03-31,32.8,$-9.45,0.0
2009-12-31,43.8,$-10.35,0.0
