DuPont De Nemours PE Ratio Historical Data,DuPont De Nemours PE Ratio Historical Data,DuPont De Nemours PE Ratio Historical Data,DuPont De Nemours PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,84.25,,55.43
2024-06-30,80.13,$1.52,52.72
2024-03-31,76.33,$0.82,93.08
2023-12-31,76.17,$0.93,81.9
2023-09-30,73.48,$9.67,7.6
2023-06-30,70.05,$9.70,7.22
2023-03-31,70.01,$11.53,6.07
2022-12-31,66.62,$11.92,5.59
2022-09-30,48.69,$3.62,13.45
2022-06-30,53.4,$3.64,14.67
2022-03-31,70.36,$2.99,23.53
2021-12-31,76.92,$10.94,7.03
2021-09-30,64.49,$10.85,5.94
2021-06-30,73.13,$9.99,7.32
2021-03-31,72.75,$5.72,12.72
2020-12-31,66.66,$-4.01,0.0
2020-09-30,51.77,$-4.07,0.0
2020-06-30,49.3,$-3.46,0.0
2020-03-31,31.45,$-0.85,0.0
2019-12-31,58.83,$0.67,87.79
2019-09-30,65.04,$1.06,61.35
2019-06-30,68.19,$1.19,57.29
2019-03-31,68.85,$4.23,16.27
2018-12-31,68.59,$4.95,13.86
2018-09-30,82.48,$2.70,30.55
2018-06-30,84.09,$3.03,27.75
