Four Corners Property Trust PE Ratio Historical Data,Four Corners Property Trust PE Ratio Historical Data,Four Corners Property Trust PE Ratio Historical Data,Four Corners Property Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.45,,27.52
2024-06-30,24.38,$1.07,22.79
2024-03-31,23.85,$1.07,22.29
2023-12-31,24.32,$1.08,22.51
2023-09-30,21.04,$1.08,19.48
2023-06-30,23.72,$1.11,21.37
2023-03-31,24.75,$1.19,20.8
2022-12-31,23.59,$1.20,19.66
2022-09-30,21.72,$1.23,17.66
2022-06-30,23.55,$1.21,19.46
2022-03-31,23.65,$1.12,21.12
2021-12-31,25.41,$1.11,22.89
2021-09-30,22.68,$1.08,21.0
2021-06-30,23.32,$1.07,21.79
2021-03-31,22.88,$1.07,21.38
2020-12-31,24.57,$1.07,22.96
2020-09-30,20.9,$1.07,19.53
2020-06-30,19.69,$1.07,18.4
2020-03-31,14.91,$1.07,13.94
2019-12-31,21.85,$1.06,20.62
2019-09-30,21.92,$1.10,19.93
2019-06-30,20.98,$1.10,19.07
2019-03-31,22.48,$1.28,17.56
2018-12-31,19.48,$1.28,15.22
2018-09-30,19.11,$1.27,15.04
2018-06-30,18.12,$1.31,13.83
2018-03-31,16.8,$1.17,14.36
2017-12-31,18.48,$1.17,15.79
2017-09-30,17.73,$1.41,12.57
2017-06-30,17.69,$1.35,13.11
2017-03-31,15.93,$1.30,12.26
2016-12-31,14.17,$2.61,5.43
2016-09-30,14.55,$2.07,7.03
