Inari Medical PE Ratio Historical Data,Inari Medical PE Ratio Historical Data,Inari Medical PE Ratio Historical Data,Inari Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.47,,0.0
2024-06-30,48.15,$-0.99,0.0
2024-03-31,47.98,$-0.41,0.0
2023-12-31,64.92,$-0.03,0.0
2023-09-30,65.4,$-0.06,0.0
2023-06-30,58.14,$-0.30,0.0
2023-03-31,61.74,$-0.53,0.0
2022-12-31,63.56,$-0.55,0.0
2022-09-30,72.64,$-0.42,0.0
2022-06-30,67.99,$-0.29,0.0
2022-03-31,90.64,$-0.03,0.0
2021-12-31,91.27,$0.16,570.44
2021-09-30,81.1,$0.27,300.37
2021-06-30,93.28,$0.45,207.29
2021-03-31,107.0,$0.22,486.36
