Elme Communities PE Ratio Historical Data,Elme Communities PE Ratio Historical Data,Elme Communities PE Ratio Historical Data,Elme Communities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.99,,0.0
2024-06-30,15.77,$-0.62,0.0
2024-03-31,13.62,$-0.61,0.0
2023-12-31,14.09,$-0.61,0.0
2023-09-30,13.0,$-0.61,0.0
2023-06-30,15.48,$-0.23,0.0
2023-03-31,16.63,$-0.30,0.0
2022-12-31,16.4,$-0.35,0.0
2022-09-30,16.03,$-0.39,0.0
2022-06-30,19.28,$0.10,192.82
2022-03-31,22.89,$0.12,190.76
2021-12-31,23.05,$0.19,121.3
2021-09-30,21.92,$0.14,156.57
2021-06-30,20.23,$-0.24,0.0
2021-03-31,19.18,$-0.23,0.0
2020-12-31,18.54,$-0.19,0.0
2020-09-30,17.01,$0.61,27.89
2020-06-30,18.49,$4.76,3.88
2020-03-31,19.61,$4.84,4.05
2019-12-31,23.66,$4.76,4.97
2019-09-30,21.96,$4.16,5.28
2019-06-30,21.22,$0.09,235.83
2019-03-31,22.29,$0.21,106.15
2018-12-31,17.87,$0.31,57.65
2018-09-30,23.53,$0.27,87.14
2018-06-30,23.06,$0.24,96.08
2018-03-31,20.54,$0.21,97.83
2017-12-31,23.16,$0.26,89.06
2017-09-30,24.15,$0.30,80.49
2017-06-30,23.3,$1.33,17.52
2017-03-31,22.64,$1.67,13.56
2016-12-31,23.43,$1.61,14.55
2016-09-30,22.1,$2.45,9.02
2016-06-30,22.12,$1.39,15.91
2016-03-31,20.33,$0.91,22.34
2015-12-31,18.63,$1.31,14.22
2015-09-30,16.98,$0.43,39.48
2015-06-30,17.46,$0.47,37.14
2015-03-31,18.36,$0.53,34.65
2014-12-31,18.18,$1.66,10.95
2014-09-30,16.5,$1.91,8.64
2014-06-30,16.71,$1.95,8.57
2014-03-31,15.18,$2.01,7.55
2013-12-31,14.67,$0.56,26.19
2013-09-30,15.66,$0.32,48.93
2013-06-30,16.47,$0.37,44.52
2013-03-31,16.85,$0.38,44.33
2012-12-31,15.65,$0.35,44.73
2012-09-30,15.87,$0.77,20.61
2012-06-30,16.66,$1.58,10.54
2012-03-31,17.12,$1.59,10.77
2011-12-31,15.54,$1.58,9.84
2011-09-30,15.75,$1.28,12.31
2011-06-30,17.92,$0.43,41.67
2011-03-31,16.9,$0.58,29.13
2010-12-31,16.6,$0.60,27.67
2010-09-30,16.76,$0.56,29.92
2010-06-30,14.37,$0.62,23.18
2010-03-31,15.67,$0.60,26.12
2009-12-31,13.93,$0.72,19.35
