Sunrun PE Ratio Historical Data,Sunrun PE Ratio Historical Data,Sunrun PE Ratio Historical Data,Sunrun PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.57,,0.0
2024-06-30,11.86,$-6.37,0.0
2024-03-31,13.18,$-6.67,0.0
2023-12-31,19.63,$-7.39,0.0
2023-09-30,12.56,$-5.50,0.0
2023-06-30,17.86,$0.38,47.0
2023-03-31,20.15,$0.07,287.86
2022-12-31,24.02,$0.77,31.19
2022-09-30,27.59,$0.29,95.14
2022-06-30,23.36,$-0.56,0.0
2022-03-31,30.37,$-0.70,0.0
2021-12-31,34.3,$-0.40,0.0
2021-09-30,44.0,$-1.09,0.0
2021-06-30,55.78,$-0.92,0.0
2021-03-31,60.48,$-0.83,0.0
2020-12-31,69.38,$-0.94,0.0
2020-09-30,77.07,$0.04,1926.75
2020-06-30,19.72,$-0.01,0.0
2020-03-31,10.1,$0.09,112.22
2019-12-31,13.81,$0.20,69.05
2019-09-30,16.71,$0.05,334.1
2019-06-30,18.76,$-0.20,0.0
2019-03-31,14.06,$-0.13,0.0
2018-12-31,10.89,$0.24,45.38
2018-09-30,12.44,$0.83,14.99
2018-06-30,13.15,$1.10,11.95
2018-03-31,8.93,$1.27,7.03
2017-12-31,5.9,$1.14,5.18
2017-09-30,5.55,$0.87,6.38
2017-06-30,7.12,$0.78,9.13
2017-03-31,5.4,$0.86,6.28
2016-12-31,5.31,$0.87,6.1
2016-09-30,6.3,$0.60,10.5
2016-06-30,5.93,$0.03,197.67
