TotalEnergies SE PE Ratio Historical Data,TotalEnergies SE PE Ratio Historical Data,TotalEnergies SE PE Ratio Historical Data,TotalEnergies SE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,65.0,,7.37
2024-06-30,65.84,$8.82,7.47
2024-03-31,67.11,$8.86,7.57
2023-12-31,64.94,$8.67,7.49
2023-09-30,62.62,$7.84,7.99
2023-06-30,54.24,$7.67,7.07
2023-03-31,54.81,$8.19,6.69
2022-12-31,56.88,$7.83,7.26
2022-09-30,41.39,$8.74,4.74
2022-06-30,46.2,$7.89,5.86
2022-03-31,43.8,$6.53,6.71
2021-12-31,42.25,$5.91,7.15
2021-09-30,40.33,$4.05,9.96
2021-06-30,37.44,$2.38,15.73
2021-03-31,37.87,$-1.69,0.0
2020-12-31,33.54,$-2.93,0.0
2020-09-30,26.94,$-2.27,0.0
2020-06-30,29.52,$-1.27,0.0
2020-03-31,28.03,$3.00,9.34
2019-12-31,40.23,$4.17,9.65
2019-09-30,37.83,$3.60,10.51
2019-06-30,40.12,$4.03,9.96
2019-03-31,39.49,$4.41,8.95
2018-12-31,36.57,$4.24,8.63
2018-09-30,44.63,$4.21,10.6
2018-06-30,41.56,$3.80,10.94
2018-03-31,39.14,$3.21,12.19
2017-12-31,37.01,$3.35,11.05
2017-09-30,35.35,$3.18,11.12
2017-06-30,32.32,$2.91,11.1
2017-03-31,32.43,$2.98,10.88
2016-12-31,32.78,$2.52,13.01
2016-09-30,30.28,$1.61,18.81
2016-06-30,30.54,$1.27,24.04
2016-03-31,28.42,$1.70,16.72
2015-12-31,27.71,$2.19,12.65
2015-09-30,27.17,$0.43,63.19
2015-06-30,29.42,$1.50,19.61
2015-03-31,29.33,$1.57,18.68
2014-12-31,29.83,$1.87,15.95
2014-09-30,37.01,$5.32,6.96
2014-06-30,40.97,$5.46,7.5
2014-03-31,36.79,$5.56,6.62
2013-12-31,33.93,$4.98,6.81
2013-09-30,31.63,$5.36,5.9
2013-06-30,26.33,$5.39,4.89
2013-03-31,25.67,$4.83,5.31
2012-12-31,27.45,$6.09,4.51
2012-09-30,26.1,$6.07,4.3
2012-06-30,23.15,$6.44,3.59
2012-03-31,25.96,$7.27,3.57
2011-12-31,25.65,$7.72,3.32
2011-09-30,21.73,$7.61,2.86
2011-06-30,28.25,$7.18,3.93
2011-03-31,29.08,$7.27,4.0
2010-12-31,25.51,$6.29,4.06
2010-09-30,24.02,$6.42,3.74
2010-06-30,20.78,$6.06,3.43
2010-03-31,26.32,$5.56,4.73
2009-12-31,29.05,$5.31,5.47
