Blue Bird PE Ratio Historical Data,Blue Bird PE Ratio Historical Data,Blue Bird PE Ratio Historical Data,Blue Bird PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.38,,14.98
2024-06-30,53.85,$3.03,17.77
2024-03-31,38.34,$2.47,15.52
2023-12-31,26.96,$1.33,20.27
2023-09-30,21.35,$-0.20,0.0
2023-06-30,22.48,$-0.98,0.0
2022-12-31,10.71,$-1.65,0.0
2022-09-30,8.35,$-1.45,0.0
2022-06-30,9.21,$-0.82,0.0
2022-03-31,18.82,$-0.40,0.0
2021-12-31,15.64,$0.14,111.71
2021-09-30,20.86,$0.27,77.26
2023-03-31,20.43,$0.30,68.1
2021-06-30,24.86,$0.52,47.81
2021-03-31,25.03,$0.41,61.05
2020-12-31,18.26,$0.41,44.54
2020-09-30,12.16,$0.45,27.02
2020-06-30,14.99,$0.44,34.07
2020-03-31,10.93,$0.94,11.63
2019-12-31,22.92,$0.93,24.65
2019-09-30,19.04,$0.90,21.15
2019-06-30,19.69,$0.99,19.89
2019-03-31,16.93,$1.21,13.99
2018-12-31,18.19,$1.28,14.21
2018-09-30,24.5,$0.97,25.26
2018-06-30,22.35,$0.73,30.62
2018-03-31,23.7,$0.64,37.03
2017-12-31,19.9,$0.67,29.7
2017-09-30,20.6,$0.61,33.77
2017-06-30,17.0,$0.72,23.61
2017-03-31,17.15,$-0.09,0.0
2016-12-31,15.45,$-0.14,0.0
2016-09-30,14.61,$0.12,121.75
2016-06-30,11.9,$0.36,33.06
2016-03-31,10.85,$0.87,12.47
2015-12-31,10.14,$0.33,30.73
2015-09-30,9.96,$0.46,21.65
2015-06-30,12.99,$-0.21,0.0
2015-03-31,10.25,$-0.96,0.0
2014-12-31,9.85,$-0.09,0.0
