John Bean Technologies PE Ratio Historical Data,John Bean Technologies PE Ratio Historical Data,John Bean Technologies PE Ratio Historical Data,John Bean Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,99.95,,5.34
2024-06-30,94.87,$18.72,5.07
2024-03-31,104.66,$18.74,5.59
2023-12-31,99.14,$18.83,5.27
2023-09-30,104.71,$17.48,5.99
2023-06-30,120.7,$4.01,30.1
2023-03-31,108.64,$4.08,26.63
2022-12-31,90.71,$4.08,22.23
2022-09-30,85.32,$3.90,21.88
2022-06-30,109.45,$3.74,29.26
2022-03-31,117.33,$3.65,32.14
2021-12-31,151.94,$3.69,41.18
2021-09-30,138.98,$3.64,38.18
2021-06-30,140.93,$3.27,43.1
2021-03-31,131.67,$3.33,39.54
2020-12-31,112.36,$3.39,33.15
2020-09-30,90.6,$3.76,24.1
2020-06-30,84.73,$4.26,19.89
2020-03-31,73.07,$4.30,16.99
2019-12-31,110.69,$4.01,27.6
2019-09-30,97.61,$4.04,24.16
2019-06-30,118.8,$3.82,31.1
2019-03-31,90.04,$3.81,23.63
2018-12-31,70.29,$3.24,21.69
2018-09-30,116.6,$2.50,46.64
2018-06-30,86.81,$2.48,35.0
2018-03-31,110.61,$2.00,55.31
2017-12-31,107.98,$2.53,42.68
2017-09-30,98.44,$2.70,36.46
2017-06-30,95.31,$2.59,36.8
2017-03-31,85.43,$2.66,32.12
2016-12-31,83.39,$2.26,36.9
2016-09-30,68.37,$2.19,31.22
2016-06-30,59.24,$1.92,30.86
2016-03-31,54.5,$1.77,30.79
2015-12-31,48.05,$1.87,25.7
2015-09-30,36.81,$1.68,21.91
2015-06-30,36.08,$1.56,23.13
2015-03-31,34.2,$1.46,23.43
2014-12-31,31.38,$1.03,30.47
2014-09-30,26.79,$0.98,27.34
2014-06-30,29.42,$0.91,32.33
2014-03-31,29.24,$0.82,35.66
2013-12-31,27.68,$1.12,24.71
2013-09-30,23.4,$1.29,18.14
2013-06-30,19.69,$1.26,15.62
2013-03-31,19.36,$1.23,15.74
2012-12-31,16.52,$1.22,13.54
2012-09-30,15.12,$0.84,18.0
2012-06-30,12.51,$0.91,13.74
2012-03-31,14.86,$1.00,14.86
2011-12-31,14.03,$1.04,13.49
2011-09-30,12.96,$1.33,9.74
2011-06-30,17.47,$1.38,12.66
2011-03-31,17.33,$1.31,13.23
2010-12-31,18.07,$1.28,14.12
2010-09-30,14.4,$1.11,12.98
2010-06-30,13.57,$1.08,12.57
2010-03-31,15.55,$1.14,13.64
2009-12-31,15.02,$1.15,13.06
