BP PE Ratio Historical Data,BP PE Ratio Historical Data,BP PE Ratio Historical Data,BP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.32,,12.33
2024-06-30,35.59,$2.54,14.01
2024-03-31,36.71,$3.19,11.51
2023-12-31,34.07,$5.09,6.69
2023-09-30,36.81,$8.46,4.35
2023-06-30,33.16,$6.11,5.43
2023-03-31,35.26,$8.34,4.23
2022-12-31,32.15,$-0.63,0.0
2022-09-30,25.99,$-3.43,0.0
2022-06-30,25.51,$-3.50,0.0
2022-03-31,26.17,$-5.41,0.0
2021-12-31,23.46,$2.23,10.52
2021-09-30,23.8,$1.93,12.33
2021-06-30,22.71,$2.56,8.87
2021-03-31,20.69,$-3.36,0.0
2020-12-31,17.19,$-6.03,0.0
2020-09-30,14.34,$-6.42,0.0
2020-06-30,18.9,$-6.51,0.0
2020-03-31,19.27,$-0.97,0.0
2019-12-31,29.3,$1.20,24.42
2019-09-30,29.04,$1.42,20.45
2019-06-30,31.36,$2.64,11.88
2019-03-31,32.88,$2.94,11.18
2018-12-31,28.11,$2.81,10.0
2018-09-30,34.17,$2.59,13.19
2018-06-30,33.37,$2.12,15.74
2018-03-31,29.25,$1.32,22.16
2017-12-31,29.87,$1.02,29.29
2017-09-30,26.92,$1.17,23.01
2017-06-30,23.87,$1.15,20.76
2017-03-31,23.38,$0.65,35.98
2016-12-31,24.88,$0.02,1243.99
2016-09-30,22.99,$-1.22,0.0
2016-06-30,22.8,$-1.71,0.0
2016-03-31,19.02,$-3.16,0.0
2015-12-31,19.29,$-2.12,0.0
2015-09-30,18.55,$-2.49,0.0
2015-06-30,23.86,$-2.09,0.0
2015-03-31,23.03,$0.91,25.31
2014-12-31,22.12,$1.20,18.43
2014-09-30,25.14,$2.98,8.44
2014-06-30,29.81,$3.67,8.12
2014-03-31,26.87,$3.22,8.35
2013-12-31,26.84,$7.36,3.65
2013-09-30,22.93,$7.70,2.98
2013-06-30,22.48,$8.29,2.71
2013-03-31,22.53,$7.21,3.12
2012-12-31,21.87,$3.78,5.79
2012-09-30,21.96,$5.51,3.99
2012-06-30,20.78,$5.44,3.82
2012-03-31,22.79,$7.67,2.97
2011-12-31,21.42,$8.09,2.65
2011-09-30,17.91,$7.47,2.4
2011-06-30,21.78,$6.41,3.4
2011-03-31,21.5,$-0.80,0.0
2010-12-31,21.32,$-1.13,0.0
2010-09-30,19.87,$-1.53,0.0
2010-06-30,13.94,$-0.42,0.0
2010-03-31,27.1,$6.38,4.25
2009-12-31,27.1,$5.26,5.15
