Chefs' Warehouse PE Ratio Historical Data,Chefs' Warehouse PE Ratio Historical Data,Chefs' Warehouse PE Ratio Historical Data,Chefs' Warehouse PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.67,,42.09
2024-06-30,39.11,$0.99,39.51
2024-03-31,37.66,$0.87,43.29
2023-12-31,29.43,$0.86,34.22
2023-09-30,21.18,$0.51,41.53
2023-06-30,35.76,$0.53,67.47
2023-03-31,34.05,$0.70,48.64
2022-12-31,33.28,$0.70,47.54
2022-09-30,28.97,$0.89,32.55
2022-06-30,38.89,$0.77,50.51
2022-03-31,32.6,$0.38,85.79
2021-12-31,33.3,$-0.15,0.0
2021-09-30,32.57,$-1.39,0.0
2021-06-30,31.83,$-1.79,0.0
2021-03-31,30.46,$-2.39,0.0
2020-12-31,25.69,$-2.38,0.0
2020-09-30,14.54,$-1.00,0.0
2020-06-30,13.58,$-0.54,0.0
2020-03-31,10.07,$0.29,34.72
2019-12-31,38.11,$0.81,47.05
2019-09-30,40.32,$0.75,53.76
2019-06-30,35.07,$0.74,47.39
2019-03-31,31.05,$0.72,43.13
2018-12-31,31.98,$0.70,45.69
2018-09-30,36.35,$0.75,48.47
2018-06-30,28.5,$0.72,39.58
2018-03-31,23.0,$0.62,37.1
2017-12-31,20.5,$0.54,37.96
2017-09-30,19.3,$0.53,36.42
2017-06-30,13.0,$0.47,27.66
2017-03-31,13.9,0,0.0
2016-12-31,15.8,$0.10,158.0
2016-09-30,11.14,$0.01,0.0
2016-06-30,16.0,$0.16,100.0
2016-03-31,20.29,$0.62,32.73
2015-12-31,16.68,$0.62,26.9
2015-09-30,14.16,$0.58,24.41
2015-06-30,21.24,$0.55,38.62
2015-03-31,22.43,$0.57,39.35
2014-12-31,23.04,$0.59,39.05
2014-09-30,16.26,$0.57,28.53
2014-06-30,19.77,$0.60,32.95
2014-03-31,21.4,$0.70,30.57
2013-12-31,29.16,$0.77,37.87
2013-09-30,23.1,$0.75,30.8
2013-06-30,17.2,$0.73,23.56
2013-03-31,18.47,$0.69,26.77
2012-12-31,15.81,$0.69,22.91
2012-09-30,16.38,$0.77,21.27
2012-06-30,18.05,$0.53,34.06
