IPG Photonics PE Ratio Historical Data,IPG Photonics PE Ratio Historical Data,IPG Photonics PE Ratio Historical Data,IPG Photonics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,75.35,,19.78
2024-06-30,84.39,$3.81,22.15
2023-12-31,108.54,$4.62,23.49
2023-09-30,101.54,$1.82,55.79
2023-06-30,135.82,$1.18,115.1
2023-03-31,123.31,$1.34,92.02
2022-12-31,94.67,$1.18,80.23
2024-03-31,90.69,$4.40,20.61
2022-09-30,84.35,$5.09,16.57
2022-06-30,94.13,$5.02,18.75
2022-03-31,109.76,$5.21,21.07
2021-12-31,172.14,$5.16,33.36
2021-09-30,158.4,$4.87,32.53
2021-06-30,210.77,$4.13,51.03
2021-03-31,210.94,$3.55,59.42
2020-12-31,223.79,$2.97,75.35
2020-09-30,169.97,$1.97,86.28
2020-06-30,160.39,$2.38,67.39
2020-03-31,110.28,$3.01,36.64
2019-12-31,144.92,$3.35,43.26
2019-09-30,135.6,$4.83,28.07
2019-06-30,154.25,$5.60,27.54
2019-03-31,151.78,$6.47,23.46
2018-12-31,113.29,$7.38,15.35
2018-09-30,156.07,$6.94,22.49
2018-06-30,220.63,$7.21,30.6
2018-03-31,233.38,$6.91,33.77
2017-12-31,214.13,$6.37,33.62
2017-09-30,185.06,$6.70,27.62
2017-06-30,145.1,$5.84,24.85
2016-12-31,98.71,$4.85,20.35
2016-09-30,82.35,$4.60,17.9
2016-06-30,80.0,$4.69,17.06
2016-03-31,96.08,$4.62,20.8
2015-12-31,89.16,$4.85,18.38
2017-03-31,120.7,$4.79,25.2
2015-09-30,75.97,$4.48,16.96
2015-06-30,85.18,$4.35,19.58
2015-03-31,92.7,$4.12,22.5
2014-12-31,74.92,$3.81,19.66
2014-09-30,68.78,$3.44,19.99
2014-06-30,68.8,$3.20,21.5
2014-03-31,71.08,$3.08,23.08
2013-12-31,77.61,$2.98,26.04
2013-09-30,56.35,$2.95,19.1
2013-06-30,60.73,$2.95,20.59
2013-03-31,66.41,$2.87,23.14
2012-12-31,66.65,$2.81,23.72
2012-09-30,56.74,$2.78,20.41
2012-06-30,43.16,$2.63,16.41
2012-03-31,51.54,$2.54,20.29
2011-12-31,33.54,$2.40,13.97
2011-09-30,43.01,$2.32,18.54
2011-06-30,72.0,$1.94,37.11
2011-03-31,57.11,$1.53,37.33
2010-12-31,31.31,$1.13,27.71
2010-09-30,23.9,$0.64,37.35
2010-06-30,15.08,$0.41,36.78
2010-03-31,14.64,$0.16,91.51
2009-12-31,16.57,$0.12,138.05
