Natera PE Ratio Historical Data,Natera PE Ratio Historical Data,Natera PE Ratio Historical Data,Natera PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,122.35,,0.0
2024-06-30,108.29,$-2.45,0.0
2024-03-31,91.46,$-3.12,0.0
2023-12-31,62.64,$-3.79,0.0
2023-09-30,44.25,$-4.52,0.0
2023-06-30,48.66,$-4.82,0.0
2023-03-31,55.52,$-5.35,0.0
2022-12-31,40.17,$-5.57,0.0
2022-09-30,43.82,$-5.68,0.0
2022-06-30,35.44,$-6.06,0.0
2022-03-31,40.68,$-5.88,0.0
2021-12-31,93.39,$-5.17,0.0
2021-09-30,111.44,$-4.58,0.0
2021-06-30,113.53,$-3.67,0.0
2021-03-31,101.54,$-3.10,0.0
2020-12-31,99.52,$-2.81,0.0
2020-09-30,72.24,$-2.38,0.0
2020-06-30,49.86,$-1.99,0.0
2020-03-31,29.86,$-1.72,0.0
2019-12-31,33.69,$-1.81,0.0
2019-09-30,32.8,$-1.86,0.0
2019-06-30,27.58,$-2.02,0.0
2019-03-31,20.62,$-2.16,0.0
2018-12-31,13.96,$-2.23,0.0
2018-09-30,23.94,$-2.59,0.0
2018-06-30,18.82,$-2.61,0.0
2018-03-31,9.27,$-2.51,0.0
2017-12-31,8.99,$-2.60,0.0
2017-09-30,12.89,$-2.45,0.0
2017-06-30,10.86,$-2.44,0.0
2017-03-31,8.87,$-2.38,0.0
2016-12-31,11.71,$-1.85,0.0
2016-09-30,11.11,$-1.60,0.0
2016-06-30,12.07,$-1.49,0.0
