Rogers PE Ratio Historical Data,Rogers PE Ratio Historical Data,Rogers PE Ratio Historical Data,Rogers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,105.85,,33.93
2024-06-30,120.61,$3.12,38.66
2024-03-31,118.69,$3.64,32.61
2023-12-31,132.07,$3.03,43.59
2023-09-30,131.47,$5.37,24.48
2023-06-30,161.93,$5.13,31.57
2023-03-31,163.43,$5.11,31.98
2022-12-31,119.34,$6.17,19.34
2022-09-30,241.88,$3.81,63.49
2022-06-30,262.09,$4.36,60.11
2022-03-31,271.7,$4.94,55.0
2021-12-31,273.0,$5.73,47.64
2021-09-30,186.48,$5.32,35.05
2021-06-30,200.8,$4.36,46.06
2021-03-31,188.21,$3.62,51.99
2020-12-31,155.29,$0.41,378.76
2020-09-30,98.06,$0.85,115.36
2020-06-30,124.6,$1.78,70.0
2019-12-31,124.73,$2.52,49.5
2019-09-30,136.71,$5.38,25.41
2019-06-30,172.58,$4.84,35.66
2019-03-31,158.88,$4.60,34.54
2018-12-31,99.06,$4.01,24.7
2020-03-31,94.42,$4.10,23.03
2018-09-30,147.32,$3.76,39.18
2018-06-30,111.46,$4.07,27.39
2018-03-31,119.54,$4.27,28.0
2017-12-31,161.92,$4.34,37.31
2017-09-30,133.28,$4.62,28.85
2017-06-30,108.62,$4.13,26.3
2017-03-31,85.87,$3.29,26.1
2016-12-31,76.81,$2.64,29.09
2016-09-30,61.08,$2.36,25.88
2016-06-30,61.1,$2.15,28.42
2016-03-31,59.87,$2.57,23.3
2015-12-31,51.57,$2.47,20.88
2015-09-30,53.18,$2.47,21.53
2015-06-30,66.14,$2.89,22.89
2015-03-31,82.21,$2.76,29.79
2014-12-31,81.44,$2.83,28.78
2014-09-30,54.76,$3.10,17.66
2014-06-30,66.35,$2.77,23.95
2014-03-31,62.42,$2.51,24.87
2013-12-31,61.5,$2.12,29.01
2013-09-30,59.48,$1.77,33.6
2013-06-30,47.32,$4.47,10.59
2013-03-31,47.62,$4.53,10.51
2012-12-31,49.66,$4.20,11.82
2012-09-30,42.36,$4.76,8.9
2012-06-30,39.61,$2.03,19.51
2011-12-31,36.86,$2.22,16.6
2011-09-30,39.13,$2.80,13.98
2011-06-30,46.2,$1.84,25.11
2011-03-31,45.06,$1.66,27.14
2010-12-31,38.25,$1.61,23.76
2012-03-31,38.75,$1.39,27.88
2010-09-30,31.48,$1.95,16.14
2010-06-30,27.77,$1.80,15.43
2010-03-31,29.01,$-3.03,0.0
2009-12-31,30.31,$-4.02,0.0
