United Natural Foods PE Ratio Historical Data,United Natural Foods PE Ratio Historical Data,United Natural Foods PE Ratio Historical Data,United Natural Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.05,,0.0
2024-07-31,15.5,$-1.89,0.0
2024-04-30,8.93,$-2.41,0.0
2024-01-31,14.91,$-1.95,0.0
2023-10-31,14.58,$-1.39,0.0
2023-07-31,20.8,$0.35,59.43
2023-04-30,27.27,$2.13,12.8
2023-01-31,41.62,$3.11,13.38
2022-10-31,42.41,$3.88,10.93
2022-07-31,42.51,$4.06,10.47
2022-04-30,42.93,$4.12,10.42
2022-01-31,38.78,$3.82,10.15
2021-10-31,43.39,$3.74,11.6
2021-07-31,33.12,$3.38,9.8
2021-04-30,36.86,$4.29,8.59
2021-01-31,27.08,$2.92,9.27
2020-07-31,19.85,$-5.29,0.0
2020-04-30,10.64,$-5.82,0.0
2020-01-31,7.2,$-7.44,0.0
2019-10-31,7.5,$-5.75,0.0
2019-07-31,9.86,$-5.26,0.0
2020-10-31,14.57,$-6.00,0.0
2019-04-30,12.92,$-5.34,0.0
2019-01-31,13.1,$-5.44,0.0
2018-10-31,21.73,$2.27,9.57
2018-07-31,32.2,$3.25,9.91
2018-04-30,45.02,$3.37,13.36
2018-01-31,47.6,$3.07,15.5
2017-10-31,38.77,$2.58,15.03
2017-07-31,38.53,$2.56,15.05
2017-04-30,41.53,$2.49,16.68
2017-01-31,45.7,$2.53,18.06
2016-10-31,41.74,$2.48,16.83
2016-07-31,49.98,$2.50,19.99
2016-04-30,35.67,$2.53,14.1
2016-01-31,35.02,$2.60,13.47
2015-10-31,50.45,$2.70,18.69
2015-07-31,45.53,$2.76,16.5
2015-04-30,67.46,$2.71,24.89
2015-01-31,77.28,$2.61,29.61
2014-10-31,68.02,$2.62,25.96
2014-07-31,58.62,$2.61,22.46
2014-04-30,69.03,$2.58,26.76
2014-01-31,67.57,$2.31,29.25
2013-07-31,58.61,$2.18,26.89
2013-04-30,49.94,$2.04,24.48
2013-01-31,53.98,$1.99,27.13
2012-10-31,53.14,$1.98,26.84
2012-07-31,54.3,$1.86,29.19
2012-04-30,49.29,$1.70,28.99
2012-01-31,44.05,$1.59,27.7
2011-10-31,36.51,$1.53,23.86
2011-07-31,41.75,$1.61,25.93
2011-04-30,42.69,$1.66,25.72
2011-01-31,37.0,$1.63,22.7
2010-10-31,35.76,$1.60,22.35
2010-07-31,33.73,$1.57,21.48
2010-04-30,30.71,$1.53,20.07
2010-01-31,27.11,$1.47,18.44
2009-10-31,24.11,$1.43,16.86
2009-07-31,27.03,$1.63,16.58
