Global Partners LP PE Ratio Historical Data,Global Partners LP PE Ratio Historical Data,Global Partners LP PE Ratio Historical Data,Global Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,46.77,,17.07
2024-06-30,44.82,$2.74,16.36
2024-03-31,42.92,$2.69,15.96
2023-12-31,40.29,$3.76,10.71
2023-09-30,32.92,$3.89,8.46
2023-06-30,28.04,$6.41,4.37
2023-03-31,27.7,$9.97,2.78
2022-12-31,29.77,$10.03,2.97
2022-09-30,20.76,$8.93,2.32
2022-06-30,19.28,$6.67,2.89
2022-03-31,21.87,$2.29,9.55
2021-12-31,18.43,$1.33,13.86
2021-09-30,16.21,$0.95,17.07
2021-06-30,19.38,$0.56,34.61
2021-03-31,15.61,$2.50,6.24
2020-12-31,11.83,$2.75,4.3
2020-09-30,9.03,$2.61,3.46
2020-06-30,6.51,$2.52,2.58
2020-03-31,5.66,$0.71,7.97
2019-12-31,12.6,$0.81,15.55
2019-09-30,11.95,$2.36,5.06
2019-06-30,11.82,$1.54,7.68
2019-03-31,11.37,$1.37,8.3
2018-12-31,9.19,$2.95,3.11
2018-09-30,10.02,$2.03,4.93
2018-06-30,9.16,$2.91,3.15
2018-03-31,8.02,$2.79,2.87
2017-12-31,8.49,$1.74,4.88
2017-09-30,8.63,$-0.75,0.0
2017-06-30,8.73,$-4.73,0.0
2017-03-31,9.2,$-5.02,0.0
2016-12-31,8.98,$-5.91,0.0
2016-09-30,7.24,$-4.04,0.0
2016-06-30,5.94,$-0.34,0.0
2016-03-31,5.65,$0.03,188.23
2015-12-31,7.13,$1.16,6.15
2015-09-30,11.25,$2.16,5.21
2015-06-30,12.6,$3.50,3.6
2015-03-31,13.29,$2.85,4.66
2014-12-31,12.39,$3.96,3.13
2014-09-30,15.4,$4.23,3.64
2014-06-30,14.78,$2.82,5.24
2014-03-31,13.1,$3.61,3.63
2013-12-31,12.48,$2.09,5.97
2013-09-30,12.06,$1.70,7.1
2013-06-30,13.63,$1.85,7.37
2013-03-31,12.05,$2.22,5.43
2012-12-31,8.37,$1.65,5.07
2012-09-30,8.46,$1.29,6.56
2012-06-30,7.21,$1.13,6.38
2012-03-31,7.2,$0.43,16.75
2011-12-31,6.64,$0.88,7.55
2011-09-30,5.21,$0.75,6.95
2011-06-30,7.36,$0.70,10.52
2011-03-31,7.39,$0.67,11.03
2010-12-31,7.66,$1.34,5.71
2010-09-30,6.81,$1.93,3.53
2010-06-30,6.05,$2.05,2.95
2010-03-31,5.89,$2.19,2.69
2009-12-31,5.93,$2.53,2.34
