Empresa Distribuidora Y Comercializadora Norte S.A (Edenor) PE Ratio Historical Data,Empresa Distribuidora Y Comercializadora Norte S.A (Edenor) PE Ratio Historical Data,Empresa Distribuidora Y Comercializadora Norte S.A (Edenor) PE Ratio Historical Data,Empresa Distribuidora Y Comercializadora Norte S.A (Edenor) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.19,,2.88
2024-06-30,16.39,$8.04,2.04
2024-03-31,17.69,$6.34,2.79
2023-12-31,19.37,$3.76,5.15
2023-09-30,12.0,$4.12,2.91
2023-06-30,15.42,$-2.59,0.0
2023-03-31,8.06,$-3.38,0.0
2022-12-31,7.99,$-2.79,0.0
2022-09-30,6.7,$-4.72,0.0
2022-06-30,4.36,$-3.84,0.0
2022-03-31,6.74,$-5.24,0.0
2021-12-31,5.3,$-4.81,0.0
2021-09-30,6.74,$-7.53,0.0
2021-06-30,4.85,$-7.39,0.0
2021-03-31,3.58,$-5.57,0.0
2020-12-31,4.24,$-5.13,0.0
2020-09-30,3.11,$-0.70,0.0
2020-06-30,3.95,$-0.57,0.0
2020-03-31,3.24,$5.81,0.56
2019-12-31,6.26,$5.62,1.11
2019-09-30,7.04,$7.07,1.0
2019-06-30,18.16,$7.59,2.39
2019-03-31,19.6,$1.88,10.43
2018-12-31,27.06,$3.40,7.96
2018-09-30,25.0,$2.06,12.14
2018-06-30,32.49,$1.82,17.85
2018-03-31,57.53,$1.92,29.96
2017-12-31,49.7,$0.92,54.02
2017-09-30,39.75,$0.92,43.21
2017-06-30,31.9,$-0.46,0.0
2017-03-31,34.8,$-2.04,0.0
2016-12-31,27.85,$-2.83,0.0
2016-09-30,19.8,$-2.54,0.0
2016-06-30,17.51,$-0.41,0.0
2016-03-31,16.7,$1.89,8.84
2015-12-31,17.53,$3.28,5.34
2015-09-30,12.79,$1.31,9.76
2015-06-30,12.93,$-1.96,0.0
2015-03-31,16.16,$-2.58,0.0
2014-12-31,9.37,$-5.83,0.0
2014-09-30,11.12,$-4.15,0.0
2014-06-30,12.62,$-4.25,0.0
2014-03-31,7.4,$4.09,1.81
2013-12-31,5.06,$3.86,1.31
2013-09-30,4.4,$3.86,1.14
2013-06-30,2.03,$4.74,0.43
2013-03-31,2.48,$-4.92,0.0
2012-12-31,1.95,$-3.10,0.0
2012-09-30,2.15,$-4.70,0.0
2012-06-30,2.0,$-3.56,0.0
2012-03-31,3.85,$-2.62,0.0
2011-12-31,5.26,$-2.31,0.0
2011-09-30,6.1,$-1.12,0.0
2011-06-30,10.02,$-0.93,0.0
2011-03-31,10.47,$-0.57,0.0
2010-12-31,13.63,$-0.38,0.0
2010-09-30,7.84,$0.57,13.75
2010-06-30,6.36,$0.63,10.1
2010-03-31,7.03,$0.90,7.81
2009-12-31,7.9,$0.86,9.19
