German American Bancorp PE Ratio Historical Data,German American Bancorp PE Ratio Historical Data,German American Bancorp PE Ratio Historical Data,German American Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.13,,14.74
2024-06-30,35.1,$2.79,12.58
2024-03-31,34.11,$2.85,11.97
2023-12-31,31.64,$2.92,10.84
2023-09-30,26.21,$3.02,8.68
2023-06-30,26.09,$3.12,8.36
2023-03-31,31.73,$3.18,9.98
2022-12-31,35.24,$2.78,12.68
2022-09-30,33.54,$2.68,12.52
2022-06-30,31.91,$2.66,12.0
2022-03-31,35.24,$2.75,12.81
2021-12-31,35.95,$3.18,11.3
2021-09-30,35.45,$3.24,10.94
2021-06-30,33.95,$2.98,11.39
2021-03-31,41.97,$2.62,16.02
2020-12-31,29.87,$2.35,12.71
2020-09-30,24.36,$2.15,11.33
2020-06-30,27.73,$2.09,13.27
2020-03-31,24.31,$2.16,11.25
2019-12-31,31.37,$2.29,13.7
2019-09-30,28.09,$2.14,13.13
2019-06-30,26.25,$2.20,11.93
2019-03-31,25.48,$2.07,12.31
2018-12-31,23.93,$1.98,12.09
2018-09-30,30.26,$2.05,14.76
2018-06-30,30.62,$1.92,15.95
2018-03-31,28.37,$1.87,15.17
2017-12-31,29.92,$1.64,18.24
2017-09-30,32.09,$1.57,20.44
2017-06-30,28.65,$1.60,17.94
2017-03-31,26.42,$1.59,16.58
2016-12-31,29.24,$1.56,18.74
2016-09-30,21.54,$1.51,14.3
2016-06-30,17.6,$1.45,12.16
2016-03-31,17.63,$1.39,12.71
2015-12-31,18.13,$1.51,12.03
2015-09-30,15.85,$1.51,10.52
2015-06-30,15.85,$1.51,10.52
2015-03-31,15.75,$1.48,10.64
2014-12-31,16.24,$1.43,11.33
2014-09-30,13.66,$1.38,9.9
2014-06-30,14.24,$1.33,10.68
2014-03-31,15.1,$1.34,11.27
2013-12-31,14.76,$1.33,11.13
2013-09-30,13.03,$1.32,9.87
2013-06-30,11.57,$1.31,8.81
2013-03-31,11.74,$1.28,9.17
2012-12-31,11.01,$1.27,8.69
2012-09-30,12.14,$1.23,9.85
2012-06-30,10.25,$1.17,8.74
2012-03-31,9.65,$1.12,8.61
2011-12-31,8.97,$1.07,8.36
2011-09-30,7.89,$0.97,8.16
2011-06-30,8.04,$0.91,8.87
2011-03-31,8.27,$0.85,9.69
2010-12-31,8.79,$0.80,10.99
2010-09-30,8.13,$0.81,9.99
2010-06-30,7.19,$0.79,9.06
2010-03-31,7.04,$0.75,9.35
2009-12-31,7.49,$0.74,10.12
