Trupanion PE Ratio Historical Data,Trupanion PE Ratio Historical Data,Trupanion PE Ratio Historical Data,Trupanion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,55.48,,0.0
2024-06-30,29.4,$-0.45,0.0
2024-03-31,27.61,$-0.64,0.0
2023-12-31,30.51,$-1.08,0.0
2023-09-30,28.2,$-1.26,0.0
2023-06-30,19.68,$-1.48,0.0
2023-03-31,42.89,$-1.48,0.0
2022-12-31,47.53,$-1.10,0.0
2022-09-30,59.43,$-1.04,0.0
2022-06-30,60.26,$-0.89,0.0
2022-03-31,89.12,$-0.79,0.0
2021-12-31,132.03,$-0.88,0.0
2021-09-30,77.67,$-0.80,0.0
2021-06-30,115.1,$-0.70,0.0
2021-03-31,76.21,$-0.43,0.0
2020-12-31,119.71,$-0.15,0.0
2020-09-30,78.9,$-0.04,0.0
2020-06-30,42.69,$0.05,853.8
2020-03-31,26.03,$-0.05,0.0
2019-12-31,37.46,$-0.06,0.0
2019-09-30,25.42,$-0.09,0.0
2019-06-30,36.13,$-0.08,0.0
2019-03-31,32.74,$-0.03,0.0
2018-12-31,25.46,$-0.04,0.0
2018-09-30,35.73,$-0.06,0.0
2018-06-30,38.6,$-0.08,0.0
2018-03-31,29.89,$-0.06,0.0
2017-12-31,29.27,$-0.06,0.0
2017-09-30,26.41,$-0.09,0.0
2017-06-30,22.38,$-0.16,0.0
2017-03-31,14.22,$-0.20,0.0
2016-12-31,15.52,$-0.24,0.0
2016-09-30,16.9,$-0.29,0.0
2016-06-30,13.25,$-0.40,0.0
2016-03-31,9.85,$-0.54,0.0
2015-12-31,9.76,$-0.63,0.0
2015-09-30,7.55,$-0.68,0.0
2015-06-30,8.24,$-0.92,0.0
