Builders FirstSource PE Ratio Historical Data,Builders FirstSource PE Ratio Historical Data,Builders FirstSource PE Ratio Historical Data,Builders FirstSource PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,174.0,,15.28
2024-06-30,138.41,$11.39,12.15
2024-03-31,208.55,$11.68,17.86
2023-12-31,166.94,$11.99,13.92
2023-09-30,124.49,$11.78,10.57
2023-06-30,136.0,$12.91,10.53
2023-03-31,88.78,$15.50,5.73
2022-12-31,64.88,$16.65,3.9
2022-09-30,58.92,$16.34,3.61
2022-06-30,53.7,$14.60,3.68
2022-03-31,64.54,$11.24,5.74
2021-12-31,85.71,$8.51,10.07
2021-09-30,51.74,$7.38,7.01
2021-06-30,42.66,$5.13,8.32
2021-03-31,46.37,$3.41,13.6
2020-12-31,40.81,$2.65,15.4
2020-09-30,32.62,$1.82,17.92
2020-06-30,20.7,$1.76,11.76
2020-03-31,12.23,$1.66,7.37
2019-12-31,25.41,$1.90,13.37
2019-09-30,20.58,$2.00,10.29
2019-06-30,16.86,$1.96,8.6
2019-03-31,13.34,$1.88,7.1
2018-12-31,10.91,$1.77,6.16
2018-09-30,14.68,$0.94,15.62
2018-06-30,18.29,$0.65,28.14
2018-03-31,19.84,$0.49,40.49
2017-12-31,21.79,$0.32,68.09
2017-09-30,17.99,$0.76,23.67
2017-06-30,15.32,$1.52,10.08
2017-03-31,14.9,$1.45,10.28
2016-12-31,10.97,$1.27,8.64
2016-09-30,11.51,$1.11,10.37
2016-06-30,11.25,$-0.07,0.0
2016-03-31,11.27,$-0.30,0.0
2015-12-31,11.08,$-0.22,0.0
2015-09-30,12.68,$-0.10,0.0
2015-06-30,12.84,$0.05,256.8
2015-03-31,6.67,$0.13,51.31
2014-12-31,6.87,$0.17,40.41
2014-09-30,5.45,$0.20,27.25
2014-06-30,7.48,$0.26,28.77
2014-03-31,9.1,$-0.35,0.0
2013-12-31,7.13,$-0.44,0.0
2013-09-30,5.88,$-0.62,0.0
2013-06-30,5.98,$-0.89,0.0
2013-03-31,5.86,$-0.52,0.0
2012-12-31,5.58,$-0.60,0.0
2012-09-30,5.19,$-0.65,0.0
2012-06-30,4.74,$-0.63,0.0
2012-03-31,4.23,$-0.66,0.0
2011-12-31,2.04,$-0.68,0.0
2011-09-30,1.27,$-0.76,0.0
2011-06-30,2.15,$-0.86,0.0
2011-03-31,2.84,$-0.90,0.0
2010-12-31,1.97,$-1.06,0.0
2010-09-30,2.28,$-0.63,0.0
2010-06-30,2.4,$-0.83,0.0
2010-03-31,3.15,$-1.26,0.0
2009-12-31,3.84,$-1.73,0.0
