Evertec PE Ratio Historical Data,Evertec PE Ratio Historical Data,Evertec PE Ratio Historical Data,Evertec PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.45,,31.86
2024-06-30,33.2,$1.05,31.62
2024-03-31,39.79,$0.99,40.19
2023-12-31,40.78,$1.21,33.7
2023-09-30,36.98,$1.48,24.98
2023-06-30,36.58,$3.39,10.79
2023-03-31,33.47,$3.43,9.76
2022-12-31,32.07,$3.50,9.16
2022-09-30,31.01,$3.62,8.57
2022-06-30,36.43,$2.04,17.86
2022-03-31,40.38,$2.25,17.95
2021-12-31,49.25,$2.21,22.28
2021-09-30,45.0,$2.09,21.53
2021-06-30,42.91,$2.08,20.63
2021-03-31,36.55,$1.61,22.7
2020-12-31,38.56,$1.42,27.15
2020-09-30,33.99,$1.32,25.75
2020-06-30,27.47,$1.19,23.08
2020-03-31,22.18,$1.35,16.43
2019-12-31,33.16,$1.41,23.52
2019-09-30,30.36,$1.34,22.66
2019-06-30,31.76,$1.31,24.24
2019-03-31,27.01,$1.21,22.32
2018-12-31,27.82,$1.16,23.99
2018-09-30,23.32,$0.97,24.04
2018-06-30,21.1,$0.74,28.51
2018-03-31,15.79,$0.74,21.34
2017-12-31,13.18,$0.74,17.81
2017-09-30,15.31,$0.88,17.39
2017-06-30,16.62,$1.06,15.67
2017-03-31,15.18,$1.06,14.32
2016-12-31,16.84,$1.01,16.68
2016-09-30,15.82,$1.08,14.65
2016-06-30,14.57,$0.99,14.71
2016-03-31,13.01,$0.98,13.27
2015-12-31,15.45,$0.96,16.09
2015-09-30,16.57,$0.83,19.97
2015-06-30,19.38,$0.90,21.53
2015-03-31,19.86,$0.86,23.09
2014-12-31,20.01,$0.85,23.54
2014-09-30,20.1,$0.93,21.62
2014-06-30,21.72,$0.87,24.96
2014-03-31,22.03,$-0.17,0.0
