Rayonier PE Ratio Historical Data,Rayonier PE Ratio Historical Data,Rayonier PE Ratio Historical Data,Rayonier PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.09,,32.09
2024-06-30,28.83,$1.00,28.83
2024-03-31,32.63,$1.05,31.08
2023-12-31,32.53,$1.26,25.81
2023-06-30,29.86,$0.55,54.29
2023-03-31,31.34,$0.58,54.03
2022-12-31,30.78,$0.72,42.76
2022-09-30,27.76,$0.63,44.06
2022-06-30,34.33,$0.55,62.41
2022-03-31,37.47,$0.92,40.73
2023-09-30,27.31,$1.13,24.17
2021-12-31,36.54,$1.08,33.83
2021-09-30,32.08,$1.09,29.43
2021-06-30,32.07,$0.55,58.32
2021-03-31,28.57,$0.15,190.44
2020-12-31,25.82,$0.27,95.62
2020-09-30,23.03,$0.32,71.96
2020-06-30,21.38,$0.33,64.79
2020-03-31,20.08,$0.46,43.66
2019-12-31,27.54,$0.45,61.2
2019-09-30,23.51,$0.35,67.16
2019-06-30,25.02,$0.53,47.2
2019-03-31,25.8,$0.67,38.5
2018-12-31,22.46,$0.79,28.43
2018-09-30,27.17,$1.27,21.4
2018-06-30,30.86,$1.29,23.92
2018-03-31,27.86,$1.28,21.77
2017-12-31,24.87,$1.36,18.29
2017-06-30,22.25,$1.18,18.85
2017-03-31,21.72,$1.87,11.62
2016-12-31,20.22,$1.72,11.75
2016-09-30,19.98,$1.41,14.17
2016-06-30,19.57,$1.25,15.65
2016-03-31,18.22,$0.35,52.07
2015-12-31,16.21,$0.37,43.82
2015-09-30,15.94,$0.36,44.27
2015-06-30,18.25,$0.45,40.55
2015-03-31,19.06,$0.60,31.77
2014-12-31,19.57,$0.80,24.46
2014-09-30,21.6,$1.35,16.0
2014-06-30,24.09,$1.54,15.64
2014-03-31,22.87,$2.07,11.05
2013-12-31,20.74,$2.86,7.25
2013-09-30,27.1,$2.83,9.58
2013-06-30,26.74,$3.01,8.88
2013-03-31,28.57,$2.88,9.92
2012-12-31,24.63,$2.17,11.35
2012-09-30,23.08,$2.03,11.37
2012-06-30,20.96,$2.25,9.32
2012-03-31,20.39,$2.16,9.46
2011-12-31,20.46,$2.20,9.29
2011-09-30,16.7,$2.23,7.48
2011-06-30,19.58,$1.91,10.27
2011-03-31,18.52,$1.78,10.4
2010-12-31,15.47,$1.79,8.66
2010-09-30,14.61,$2.11,6.91
2010-06-30,12.7,$2.27,5.59
2010-03-31,12.96,$2.85,4.54
2009-12-31,11.89,$2.60,4.57
2009-09-30,11.4,$1.98,5.75
