Crescent Energy PE Ratio Historical Data,Crescent Energy PE Ratio Historical Data,Crescent Energy PE Ratio Historical Data,Crescent Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.64,,632.0
2024-06-30,11.85,$0.02,592.5
2024-03-31,11.9,$-0.20,0.0
2023-12-31,13.21,$1.29,10.24
2023-09-30,12.64,$0.86,14.7
2023-06-30,10.42,$4.27,2.44
2023-03-31,11.31,$5.46,2.07
2022-12-31,11.99,$2.19,5.47
2022-09-30,13.47,$2.01,6.7
2022-06-30,12.36,$-0.81,0.0
2022-03-31,17.0,$-2.27,0.0
2021-12-31,12.34,$-0.26,0.0
2021-09-30,4.45,$-0.42,0.0
2021-06-30,4.21,$-0.39,0.0
2021-03-31,3.8,$-0.44,0.0
2020-12-31,2.23,$-1.22,0.0
2020-09-30,1.3,$-2.38,0.0
2020-06-30,2.23,$-2.52,0.0
2020-03-31,1.46,$-2.46,0.0
2019-12-31,3.57,$-1.92,0.0
2019-09-30,2.71,$-1.76,0.0
2019-06-30,1.69,$-4.83,0.0
2019-03-31,3.07,$-4.97,0.0
2018-12-31,3.16,$-4.67,0.0
2018-09-30,6.02,$-3.74,0.0
2018-06-30,5.53,$-0.76,0.0
2018-03-31,3.46,$-0.71,0.0
2017-12-31,4.58,$-0.71,0.0
2017-09-30,4.9,$-1.17,0.0
2017-06-30,6.46,$-1.44,0.0
2017-03-31,7.13,$-2.10,0.0
2016-12-31,9.09,$-2.74,0.0
2016-09-30,9.95,$-7.90,0.0
2016-06-30,11.91,$-17.14,0.0
2016-03-31,11.48,$-17.27,0.0
2015-12-31,6.24,$-17.65,0.0
2015-09-30,7.4,$-12.85,0.0
2015-06-30,11.94,$-2.87,0.0
2015-03-31,21.42,$-1.60,0.0
2014-12-31,28.46,$-1.15,0.0
2014-09-30,32.36,$0.24,134.82
2014-06-30,41.18,$1.35,30.51
2014-03-31,46.47,$1.86,24.98
2013-12-31,46.0,$2.64,17.43
2013-09-30,35.77,$0.50,71.55
2013-06-30,32.85,$-0.80,0.0
2013-03-31,39.02,$-0.59,0.0
2012-09-30,45.45,$0.43,105.71
2012-06-30,54.76,$3.18,17.22
2012-03-31,54.49,$3.18,17.14
2011-12-31,53.82,$3.29,16.36
2011-09-30,50.61,$3.22,15.72
2011-06-30,54.06,$2.27,23.81
2011-03-31,58.5,$2.38,24.58
2010-09-30,46.4,$2.49,18.63
2010-06-30,41.39,$2.12,19.52
2010-03-31,47.31,$2.12,22.32
2009-12-31,43.48,$2.06,21.11
2009-09-30,47.23,$1.05,44.98
2009-06-30,39.3,$0.97,40.52
