PDD Holdings PE Ratio Historical Data,PDD Holdings PE Ratio Historical Data,PDD Holdings PE Ratio Historical Data,PDD Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,96.11,,12.73
2024-03-31,116.25,$7.55,15.4
2023-12-31,146.31,$5.73,25.53
2023-09-30,98.07,$4.45,22.04
2023-06-30,69.14,$4.03,17.16
2023-03-31,75.9,$3.72,20.4
2022-12-31,81.55,$3.20,25.48
2022-09-30,62.58,$2.98,21.0
2022-06-30,61.8,$2.13,29.01
2022-03-31,40.11,$1.47,27.29
2021-12-31,58.3,$0.82,71.1
2021-09-30,90.67,$-0.08,0.0
2021-06-30,127.02,$-0.36,0.0
2021-03-31,133.88,$-0.74,0.0
2020-12-31,177.67,$-0.88,0.0
2020-09-30,74.15,$-0.91,0.0
2020-06-30,85.84,$-1.09,0.0
2020-03-31,36.03,$-1.10,0.0
2019-12-31,37.82,$-0.84,0.0
2019-09-30,32.22,$-0.96,0.0
2019-06-30,20.63,$-0.84,0.0
