American Assets Trust PE Ratio Historical Data,American Assets Trust PE Ratio Historical Data,American Assets Trust PE Ratio Historical Data,American Assets Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.88,,31.33
2024-06-30,22.09,$0.89,24.83
2024-03-31,21.63,$0.89,24.3
2023-12-31,21.87,$0.84,26.04
2023-09-30,18.61,$0.83,22.42
2023-06-30,18.08,$0.84,21.53
2023-03-31,17.23,$0.82,21.01
2022-12-31,24.2,$0.73,33.16
2022-09-30,23.22,$0.71,32.7
2022-06-30,26.5,$0.67,39.56
2022-03-31,33.47,$0.64,52.3
2021-12-31,32.87,$0.48,68.47
2021-09-30,32.5,$0.39,83.34
2021-06-30,32.15,$0.30,107.16
2021-03-31,27.77,$0.28,99.17
2020-12-31,24.52,$0.46,53.31
2020-09-30,20.28,$0.63,32.19
2020-06-30,23.21,$0.77,30.14
2020-03-31,20.71,$0.82,25.25
2019-12-31,37.7,$0.86,43.84
2019-09-30,38.15,$0.78,48.91
2019-06-30,38.23,$0.78,49.01
2019-03-31,36.98,$0.67,55.19
2018-12-31,32.19,$0.42,76.65
2018-09-30,29.68,$0.43,69.03
2018-06-30,30.27,$0.40,75.67
2018-03-31,26.22,$0.45,58.27
2017-12-31,29.77,$0.62,48.01
2017-09-30,30.74,$0.66,46.58
2017-06-30,30.25,$0.66,45.84
2017-03-31,31.93,$0.71,44.98
2016-12-31,32.68,$0.72,45.38
2016-09-30,32.69,$0.71,46.04
2016-06-30,31.79,$0.82,38.77
2016-03-31,29.73,$0.85,34.97
2015-12-31,28.37,$0.86,32.99
2015-09-30,30.03,$0.84,35.75
2015-06-30,28.65,$0.69,41.52
2015-03-31,31.43,$0.40,78.58
2014-12-31,28.75,$0.33,87.12
2014-09-30,23.67,$0.28,84.54
2014-06-30,24.65,$0.02,1232.4
2014-03-31,23.92,$0.19,125.87
2013-12-31,22.13,$0.16,138.31
2013-09-30,21.33,$0.78,27.35
2013-06-30,21.43,$0.97,22.09
2013-03-31,22.08,$0.93,23.74
2012-12-31,19.14,$0.90,21.26
2012-09-30,18.21,$0.18,101.19
2012-06-30,16.36,$0.18,90.9
2012-03-31,15.24,$0.14,108.87
2011-12-31,13.58,$0.07,194.05
