Encore Capital Group Inc PE Ratio Historical Data,Encore Capital Group Inc PE Ratio Historical Data,Encore Capital Group Inc PE Ratio Historical Data,Encore Capital Group Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.52,,0.0
2024-06-30,41.73,$-8.32,0.0
2024-03-31,45.61,$-8.58,0.0
2023-12-31,50.75,$-8.78,0.0
2023-09-30,47.76,$-0.49,0.0
2023-06-30,48.62,$-0.06,0.0
2023-03-31,50.45,$1.15,43.87
2022-12-31,47.94,$6.80,7.05
2022-09-30,45.48,$12.44,3.66
2022-06-30,57.77,$13.88,4.16
2022-03-31,62.73,$14.66,4.28
2021-12-31,62.11,$11.23,5.53
2021-09-30,49.27,$9.87,4.99
2021-06-30,47.39,$8.93,5.31
2021-03-31,40.23,$9.99,4.03
2020-12-31,38.95,$6.69,5.82
2020-09-30,38.59,$6.88,5.61
2020-06-30,34.18,$6.39,5.35
2020-03-31,23.38,$3.43,6.82
2019-12-31,35.36,$5.33,6.63
2019-09-30,33.33,$5.47,6.09
2019-06-30,33.87,$4.93,6.87
2019-03-31,27.23,$4.76,5.72
2018-12-31,23.5,$4.02,5.85
2018-09-30,35.85,$3.00,11.95
2018-06-30,36.6,$3.36,10.89
2018-03-31,45.2,$3.13,14.44
2017-12-31,42.1,$3.15,13.37
2017-09-30,44.3,$3.55,12.48
2017-06-30,40.15,$2.44,16.45
2017-03-31,30.8,$2.81,10.96
2016-12-31,28.65,$2.95,9.71
2016-09-30,22.48,$2.03,11.07
2016-06-30,23.53,$1.66,14.17
2016-03-31,25.74,$1.55,16.61
2015-12-31,29.08,$1.64,17.73
2015-09-30,37.0,$2.66,13.91
2015-06-30,42.74,$4.20,10.18
2015-03-31,41.59,$4.03,10.32
2014-12-31,44.4,$3.77,11.78
2014-09-30,44.31,$3.61,12.27
2014-06-30,45.42,$3.31,13.72
2014-03-31,45.7,$2.89,15.81
2013-12-31,50.26,$2.87,17.51
2013-09-30,45.77,$2.84,16.12
2013-06-30,33.11,$2.85,11.62
2013-03-31,30.1,$3.05,9.87
2012-12-31,30.62,$2.69,11.38
2012-09-30,28.26,$2.57,11.0
2012-06-30,29.62,$2.35,12.6
2012-03-31,22.55,$2.29,9.85
2011-12-31,21.26,$2.39,8.9
2011-09-30,21.85,$2.28,9.58
2011-06-30,30.72,$2.17,14.16
2011-03-31,23.68,$2.06,11.49
2010-12-31,23.45,$1.96,11.96
2010-09-30,18.02,$1.74,10.36
2010-06-30,20.61,$1.62,12.72
2010-03-31,16.45,$1.43,11.5
2009-12-31,17.4,$1.37,12.7
