Cencora PE Ratio Historical Data,Cencora PE Ratio Historical Data,Cencora PE Ratio Historical Data,Cencora PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,239.57,,26.01
2024-06-30,224.82,$9.21,24.41
2024-03-31,241.92,$9.14,26.47
2023-12-31,204.02,$9.18,22.22
2023-09-30,178.32,$8.53,20.91
2023-06-30,190.17,$8.21,23.16
2023-03-31,157.79,$7.78,20.28
2022-12-31,162.8,$8.24,19.76
2022-09-30,132.54,$8.04,16.48
2022-06-30,138.14,$8.72,15.84
2022-03-31,150.6,$8.20,18.37
2021-12-31,128.94,$7.71,16.72
2021-09-30,115.47,$7.39,15.63
2021-06-30,110.27,$-18.43,0.0
2021-03-31,113.29,$-18.42,0.0
2020-12-31,93.41,$-15.88,0.0
2020-09-30,92.23,$-16.79,0.0
2020-06-30,95.51,$7.58,12.6
2020-03-31,83.47,$7.60,10.98
2019-12-31,79.83,$3.09,25.84
2019-09-30,76.96,$4.03,19.1
2019-06-30,79.33,$4.47,17.75
2019-03-31,73.61,$4.29,17.16
2018-12-31,68.56,$5.45,12.58
2018-09-30,84.6,$7.51,11.26
2018-06-30,77.88,$5.09,15.3
2018-03-31,78.39,$4.07,19.26
2017-12-31,83.17,$4.64,17.93
2017-09-30,74.6,$1.85,40.32
2017-06-30,84.83,$3.84,22.09
2017-03-31,79.09,$5.17,15.3
2016-12-31,69.59,$5.99,11.62
2016-09-30,71.57,$6.34,11.29
2016-06-30,70.01,$7.26,9.64
2016-03-31,76.05,$6.59,11.54
2015-12-31,90.77,$1.58,57.45
2015-09-30,82.84,$-0.79,0.0
2015-06-30,92.49,$-2.06,0.0
2015-03-31,98.61,$-3.01,0.0
2014-12-31,77.99,$0.08,974.86
2014-09-30,66.65,$1.16,57.46
2014-06-30,62.46,$1.09,57.3
2014-03-31,56.18,$1.86,30.21
2013-12-31,60.02,$1.29,46.53
2013-09-30,51.98,$1.83,28.4
2013-06-30,47.15,$2.27,20.77
2013-03-31,43.28,$2.27,19.07
2012-12-31,36.16,$2.89,12.51
2012-09-30,32.25,$2.80,11.52
2012-06-30,32.67,$2.68,12.19
2012-03-31,32.81,$2.63,12.48
2011-12-31,30.66,$2.59,11.84
2011-09-30,30.62,$2.54,12.05
2011-06-30,33.91,$2.50,13.56
2011-03-31,32.31,$2.41,13.41
2010-12-31,27.79,$2.27,12.24
2010-09-30,24.89,$2.22,11.21
2010-06-30,25.71,$2.16,11.9
2010-03-31,23.36,$1.99,11.74
2009-12-31,20.99,$1.83,11.47
