Centerra Gold PE Ratio Historical Data,Centerra Gold PE Ratio Historical Data,Centerra Gold PE Ratio Historical Data,Centerra Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.17,,11.38
2024-06-30,6.72,$0.63,10.67
2024-03-31,5.91,$0.27,21.89
2023-12-31,5.96,$-0.37,0.0
2023-09-30,4.9,$-0.83,0.0
2023-06-30,6.0,$-1.26,0.0
2023-03-31,6.41,$-1.09,0.0
2022-12-31,5.13,$-0.45,0.0
2022-09-30,4.37,$1.07,4.08
2022-06-30,6.61,$1.31,5.04
2022-03-31,9.56,$-1.55,0.0
2021-12-31,7.43,$-1.30,0.0
2021-09-30,6.54,$-1.91,0.0
2021-06-30,7.27,$-1.32,0.0
2021-03-31,8.42,$1.82,4.62
2020-12-31,10.26,$1.33,7.71
