St Joe PE Ratio Historical Data,St Joe PE Ratio Historical Data,St Joe PE Ratio Historical Data,St Joe PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,59.53,,48.8
2024-06-30,54.57,$1.22,44.73
2024-03-31,57.71,$1.40,41.22
2023-12-31,59.78,$1.34,44.61
2023-09-30,53.84,$1.59,33.86
2023-06-30,47.81,$1.47,32.52
2023-03-31,41.06,$1.16,35.39
2022-12-31,38.05,$1.21,31.44
2022-09-30,31.44,$1.27,24.75
2022-06-30,38.74,$1.32,29.35
2022-03-31,57.89,$1.44,40.2
2021-12-31,50.77,$1.26,40.3
2021-09-30,41.0,$1.06,38.68
2021-06-30,43.37,$0.93,46.64
2021-03-31,41.63,$0.85,48.98
2020-12-31,41.12,$0.77,53.41
2020-09-30,19.94,$0.58,34.38
2020-06-30,18.77,$0.55,34.12
2020-03-31,16.22,$0.39,41.58
2019-12-31,19.16,$0.45,42.59
2019-09-30,16.56,$0.30,55.18
2019-06-30,16.7,$0.29,57.59
2019-03-31,15.94,$0.53,30.07
2018-12-31,12.73,$0.51,24.96
2018-09-30,16.24,$1.09,14.9
2018-06-30,17.35,$1.08,16.06
2018-03-31,18.22,$0.82,22.22
2017-12-31,17.44,$0.87,20.05
2017-09-30,18.22,$0.33,55.2
2017-06-30,18.12,$0.29,62.49
2017-03-31,16.48,$0.16,102.99
2016-12-31,18.36,$0.07,262.32
2016-09-30,17.76,$0.06,296.06
2016-06-30,17.13,$0.02,856.27
2015-12-31,17.89,$-0.02,0.0
2015-09-30,18.49,$-0.11,0.0
2015-06-30,15.01,$-0.14,0.0
2015-03-31,17.94,$4.23,4.24
2014-12-31,17.77,$4.25,4.18
2014-09-30,19.26,$4.42,4.36
2014-03-31,18.6,$4.45,4.18
2013-12-31,18.55,$0.05,370.92
2013-09-30,18.96,$-0.04,0.0
2013-06-30,20.34,$0.08,254.3
2013-03-31,20.54,$0.05,410.74
2012-12-31,22.31,$0.07,318.65
2012-09-30,18.85,$-3.40,0.0
2012-06-30,15.28,$-3.60,0.0
2012-03-31,18.37,$-3.74,0.0
2011-12-31,14.17,$-3.61,0.0
2011-09-30,14.49,$-0.08,0.0
2011-06-30,20.14,$-0.19,0.0
2016-03-31,16.57,$-0.14,0.0
2010-12-31,21.12,$-0.39,0.0
2010-09-30,24.04,$-1.01,0.0
2010-06-30,22.38,$-1.03,0.0
2010-03-31,31.26,$-1.43,0.0
2009-12-31,27.92,$-1.43,0.0
2009-09-30,28.14,$-0.62,0.0
2009-06-30,25.6,$-0.31,0.0
