Tootsie Roll Industries PE Ratio Historical Data,Tootsie Roll Industries PE Ratio Historical Data,Tootsie Roll Industries PE Ratio Historical Data,Tootsie Roll Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.35,,22.93
2024-06-30,30.48,$1.32,23.03
2024-03-31,31.83,$1.31,24.35
2023-12-31,31.98,$1.27,25.14
2023-09-30,28.57,$1.21,23.55
2023-06-30,33.88,$1.10,30.67
2023-03-31,42.87,$1.06,40.4
2022-12-31,40.55,$1.04,39.11
2022-09-30,31.55,$0.96,32.78
2022-06-30,33.51,$0.93,35.9
2022-03-31,33.05,$0.90,36.66
2021-12-31,34.16,$0.95,36.13
2021-09-30,28.54,$1.00,28.55
2021-06-30,31.81,$0.76,41.91
2020-12-31,27.7,$0.79,35.04
2020-09-30,28.65,$0.78,36.92
2020-06-30,31.78,$0.59,53.52
2020-03-31,33.26,$0.89,37.25
2019-12-31,31.49,$0.89,35.45
2021-03-31,30.99,$0.82,37.82
2019-09-30,34.08,$0.67,50.65
2019-06-30,33.89,$0.62,54.7
2019-03-31,34.09,$0.60,56.99
2018-12-31,30.5,$0.59,52.03
2018-09-30,26.56,$1.00,26.53
2018-06-30,28.01,$1.01,27.81
2018-03-31,26.66,$1.03,25.94
2017-12-31,31.9,$1.05,30.41
2017-09-30,33.22,$0.86,38.49
2017-06-30,30.4,$0.88,34.68
2017-03-31,32.5,$0.86,37.6
2016-12-31,33.5,$0.86,38.93
2016-09-30,30.89,$0.88,35.23
2016-06-30,32.32,$0.84,38.32
2016-03-31,29.23,$0.84,34.84
2015-12-31,25.59,$0.83,30.91
2015-09-30,25.2,$0.81,31.02
2015-06-30,26.03,$0.81,32.12
2015-03-31,27.25,$0.78,34.76
2014-12-31,23.84,$0.79,30.26
2014-09-30,21.65,$0.77,28.21
2014-06-30,22.78,$0.76,30.04
2014-03-31,23.1,$0.75,30.9
2013-12-31,24.31,$0.74,32.99
2013-09-30,22.9,$0.68,33.6
2013-06-30,23.62,$0.64,37.06
2013-03-31,22.17,$0.63,35.34
2012-12-31,19.16,$0.62,30.7
2012-09-30,19.6,$0.59,33.08
2012-06-30,17.28,$0.54,32.18
2012-03-31,16.53,$0.52,31.76
2011-12-31,17.02,$0.51,33.33
2011-09-30,17.29,$0.49,35.01
2011-06-30,20.92,$0.59,35.26
2011-03-31,20.23,$0.62,32.75
2010-12-31,19.94,$0.63,31.75
2010-09-30,17.09,$0.61,27.79
2010-06-30,16.2,$0.61,26.46
2010-03-31,18.46,$0.63,29.37
2009-12-31,18.65,$0.62,30.13
