MGP Ingredients PE Ratio Historical Data,MGP Ingredients PE Ratio Historical Data,MGP Ingredients PE Ratio Historical Data,MGP Ingredients PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,81.57,,18.88
2024-06-30,74.3,$4.32,17.2
2024-03-31,85.88,$4.33,19.83
2023-12-31,98.1,$4.80,20.44
2023-09-30,104.89,$4.42,23.73
2023-06-30,105.58,$4.90,21.55
2023-03-31,95.97,$4.61,20.82
2022-12-31,105.42,$4.91,21.47
2022-09-30,105.1,$5.30,19.83
2022-06-30,98.99,$5.32,18.61
2022-03-31,84.54,$5.08,16.64
2021-12-31,83.82,$4.29,19.54
2021-09-30,64.1,$3.58,17.9
2021-06-30,66.47,$3.11,21.37
2021-03-31,58.02,$2.70,21.49
2020-12-31,46.08,$2.37,19.44
2020-09-30,38.8,$2.44,15.9
2020-06-30,35.72,$2.31,15.46
2020-03-31,26.08,$2.27,11.49
2019-12-31,46.75,$2.27,20.59
2019-09-30,47.83,$2.20,21.74
2019-06-30,63.71,$2.24,28.44
2019-03-31,74.01,$2.22,33.34
2018-12-31,54.73,$2.17,25.22
2018-09-30,75.68,$2.22,34.09
2018-06-30,85.01,$2.52,33.73
2018-03-31,85.68,$2.45,34.97
2017-12-31,73.45,$2.43,30.23
2017-09-30,57.89,$2.17,26.68
2017-06-30,48.15,$1.90,25.34
2017-03-31,51.0,$1.90,26.84
2016-12-31,46.96,$1.81,25.94
2016-09-30,38.05,$1.71,22.25
2016-06-30,35.88,$1.54,23.3
2016-03-31,22.75,$1.61,14.13
2015-12-31,24.27,$1.48,16.4
2015-09-30,14.98,$1.53,9.79
2015-06-30,15.73,$1.49,10.56
2015-03-31,12.59,$1.33,9.47
2014-12-31,14.78,$1.31,11.28
2014-09-30,12.18,$0.86,14.16
2014-06-30,7.42,$0.15,49.44
2014-03-31,6.29,$-0.11,0.0
2013-12-31,4.8,$-0.28,0.0
2013-09-30,4.84,$-0.25,0.0
2013-06-30,5.51,$0.14,39.34
2013-03-31,4.02,$0.07,57.42
2012-12-31,3.13,$0.08,39.09
2012-09-30,3.49,$0.96,3.64
2012-06-30,2.94,$0.63,4.66
2012-03-31,4.92,$0.10,49.19
2011-12-31,4.57,$0.04,114.21
2011-09-30,4.6,$-0.67,0.0
2011-06-30,7.83,$-0.08,0.0
2011-03-31,7.84,$0.50,15.68
2010-12-31,9.93,$0.32,31.03
2010-09-30,7.06,$0.42,16.81
2010-06-30,5.92,$0.36,16.45
2010-03-31,6.86,$-0.02,0.0
2009-12-31,6.83,$0.12,56.94
