Golden Ocean Group PE Ratio Historical Data,Golden Ocean Group PE Ratio Historical Data,Golden Ocean Group PE Ratio Historical Data,Golden Ocean Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.33,,10.59
2024-06-30,13.44,$1.07,12.56
2024-03-31,12.34,$0.93,13.27
2023-12-31,9.09,$0.56,16.24
2023-09-30,7.26,$0.61,11.9
2023-06-30,6.86,$0.99,6.93
2023-03-31,8.54,$1.63,5.24
2022-12-31,7.64,$2.29,3.34
2022-09-30,6.32,$2.96,2.13
2022-06-30,9.21,$3.41,2.7
2022-03-31,9.48,$3.12,3.04
2021-12-31,6.63,$2.64,2.51
2021-09-30,7.0,$1.81,3.87
2021-06-30,6.87,$1.11,6.19
2021-03-31,4.07,$0.30,13.58
2020-12-31,2.81,$-0.96,0.0
2020-09-30,2.32,$-0.85,0.0
2020-06-30,2.36,$-0.86,0.0
2020-03-31,1.9,$-0.80,0.0
2019-12-31,3.48,$0.27,12.9
2019-09-30,3.4,$0.14,24.29
2019-06-30,3.34,$0.12,27.83
2019-03-31,2.73,$0.41,6.65
2018-12-31,3.49,$0.58,6.01
2018-09-30,5.46,$0.61,8.95
2018-06-30,4.76,$0.37,12.87
2018-03-31,4.31,$0.21,20.51
2017-12-31,4.37,$-0.08,0.0
2017-09-30,4.2,$-0.21,0.0
2017-06-30,3.6,$-0.46,0.0
2017-03-31,4.1,$-0.73,0.0
2016-12-31,2.52,$-1.66,0.0
2016-09-30,2.17,$-3.72,0.0
2016-06-30,1.78,$-4.67,0.0
2016-03-31,1.86,$-5.35,0.0
2015-12-31,2.87,$-8.65,0.0
2015-09-30,6.59,$-6.35,0.0
2015-06-30,10.31,$-5.70,0.0
2015-03-31,13.39,$-3.95,0.0
2014-12-31,12.14,$2.20,5.52
2014-09-30,23.47,$2.40,9.78
2014-06-30,37.03,$3.15,11.76
2014-03-31,34.84,$2.25,15.48
2013-12-31,23.23,$-0.90,0.0
2013-09-30,25.1,$-1.45,0.0
2013-06-30,17.77,$-13.30,0.0
2013-03-31,19.37,$-13.75,0.0
2012-12-31,12.08,$-10.90,0.0
2012-09-30,14.63,$-8.90,0.0
2012-06-30,17.62,$4.60,3.83
2012-03-31,30.22,$6.75,4.48
2011-12-31,27.8,$7.05,3.94
2011-09-30,32.69,$6.35,5.15
2011-06-30,42.4,$6.90,6.15
2011-03-31,47.13,$9.35,5.04
2010-12-31,41.09,$10.60,3.88
2010-09-30,34.12,$12.00,2.84
2010-06-30,30.93,$10.50,2.95
2010-03-31,29.09,$7.45,3.91
2009-12-31,22.34,$6.35,3.52
