Nutrien PE Ratio Historical Data,Nutrien PE Ratio Historical Data,Nutrien PE Ratio Historical Data,Nutrien PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.3,,30.19
2024-06-30,50.35,$1.60,31.47
2024-03-31,53.15,$1.71,31.08
2023-12-31,54.57,$2.53,21.57
2023-09-30,59.28,$4.33,13.69
2023-06-30,56.2,$7.12,7.89
2023-03-31,69.66,$12.74,5.47
2022-12-31,68.39,$14.09,4.85
2022-09-30,77.58,$14.05,5.52
2022-06-30,73.72,$12.36,5.96
2022-03-31,95.64,$7.79,12.28
2021-12-31,68.84,$5.52,12.47
2021-09-30,58.98,$3.96,14.89
2021-06-30,54.45,$1.68,32.41
2021-03-31,48.04,$1.08,44.48
2020-12-31,42.58,$0.80,53.22
2020-09-30,34.35,$0.17,202.08
2020-06-30,27.78,$1.44,19.29
2020-03-31,28.98,$1.57,18.46
2019-12-31,40.35,$1.70,23.73
2019-09-30,41.61,$7.00,5.94
2019-06-30,44.19,$9.00,4.91
2019-03-31,43.27,$7.53,5.75
2018-12-31,38.23,$5.76,6.64
