Discover Financial Services PE Ratio Historical Data,Discover Financial Services PE Ratio Historical Data,Discover Financial Services PE Ratio Historical Data,Discover Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,138.71,,12.29
2024-06-30,130.12,$11.29,11.52
2024-03-31,129.66,$8.77,14.78
2023-12-31,110.54,$11.25,9.83
2023-09-30,84.51,$13.48,6.27
2023-06-30,113.09,$14.43,7.84
2023-03-31,94.99,$14.85,6.4
2022-12-31,93.51,$15.49,6.04
2022-09-30,86.42,$15.36,5.63
2022-06-30,89.39,$15.36,5.82
2022-03-31,103.57,$16.95,6.11
2021-12-31,108.19,$17.77,6.09
2021-09-30,114.53,$16.72,6.85
2021-06-30,109.86,$15.63,7.03
2021-03-31,87.88,$8.88,9.9
2020-12-31,83.35,$3.59,23.22
2020-09-30,52.89,$3.25,16.28
2020-06-30,45.46,$3.16,14.39
2020-03-31,32.03,$6.68,4.79
2019-12-31,75.72,$9.08,8.34
2019-09-30,72.01,$8.86,8.13
2019-06-30,68.52,$8.55,8.01
2019-03-31,62.52,$8.14,7.68
2018-12-31,51.53,$7.81,6.6
2018-09-30,66.4,$6.77,9.81
2018-06-30,60.85,$6.31,9.64
2018-03-31,61.88,$5.80,10.67
2017-12-31,65.88,$5.41,12.18
2017-09-30,54.93,$5.82,9.44
2017-06-30,52.67,$5.79,9.1
2017-03-31,57.64,$5.86,9.84
2016-12-31,60.49,$5.78,10.47
2016-09-30,47.2,$5.52,8.55
2016-06-30,44.49,$5.34,8.33
2016-03-31,42.06,$5.15,8.17
2015-12-31,44.02,$4.67,9.43
2015-09-30,42.47,$4.90,8.67
2015-03-31,45.58,$4.87,9.36
2014-12-31,52.75,$4.90,10.76
2014-09-30,51.67,$5.26,9.82
2014-06-30,49.53,$5.22,9.49
2014-03-31,46.31,$5.07,9.13
2013-12-31,44.35,$4.96,8.94
2015-06-30,46.83,$5.06,9.25
2013-09-30,39.91,$3.73,10.7
2013-06-30,37.47,$2.53,14.81
2013-03-31,35.12,$2.54,13.83
2012-12-31,30.19,$1.21,24.95
2012-11-30,32.47,$1.21,26.83
2012-09-30,30.92,$2.39,12.94
2012-08-31,30.15,$1.18,25.55
2012-05-31,25.7,$1.18,21.78
2012-03-31,25.8,$1.18,21.86
2012-02-29,23.22,0,0.0
2011-11-30,18.36,0,0.0
2011-08-31,19.34,0,0.0
2011-05-31,18.28,0,0.0
2011-02-28,16.64,0,0.0
2010-11-30,13.97,0,0.0
2010-08-31,11.08,0,0.0
2010-05-31,10.25,0,0.0
2010-02-28,10.39,0,0.0
2009-11-30,11.75,0,0.0
2009-08-31,10.44,$0.99,10.54
