ICF PE Ratio Historical Data,ICF PE Ratio Historical Data,ICF PE Ratio Historical Data,ICF PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,175.05,,36.17
2024-06-30,148.33,$4.84,30.65
2023-12-31,133.72,$4.35,30.74
2023-09-30,120.35,$3.66,32.88
2023-06-30,123.79,$3.85,32.15
2023-03-31,109.04,$3.79,28.77
2022-12-31,98.33,$3.89,25.28
2024-03-31,150.35,$4.36,34.48
2022-09-30,108.08,$3.55,30.45
2022-06-30,94.05,$3.61,26.05
2022-03-31,93.07,$3.71,25.09
2021-12-31,101.23,$3.73,27.14
2021-09-30,88.03,$3.77,23.35
2021-06-30,86.48,$3.64,23.76
2021-03-31,85.9,$3.29,26.11
2020-12-31,72.94,$2.88,25.33
2020-09-30,60.27,$3.22,18.72
2020-06-30,63.37,$3.30,19.2
2020-03-31,67.0,$3.34,20.06
2019-12-31,89.17,$3.59,24.84
2019-09-30,82.08,$3.55,23.12
2019-06-30,70.61,$3.39,20.83
2019-03-31,73.65,$3.34,22.05
2018-12-31,62.6,$3.19,19.62
2018-09-30,72.76,$3.63,20.04
2018-06-30,68.4,$3.49,19.6
2018-03-31,56.16,$3.41,16.47
2017-12-31,50.32,$3.28,15.34
2017-09-30,51.71,$2.52,20.52
2017-06-30,45.14,$2.50,18.06
2017-03-31,39.58,$2.42,16.36
2016-12-31,52.91,$2.40,22.04
2016-09-30,42.48,$2.30,18.47
2016-06-30,39.2,$2.19,17.9
2016-03-31,32.94,$2.11,15.61
2015-12-31,34.08,$2.01,16.96
2015-09-30,29.13,$1.90,15.33
2015-06-30,33.41,$1.90,17.59
2015-03-31,39.15,$1.93,20.29
2014-12-31,39.28,$2.01,19.54
2014-09-30,29.51,$1.95,15.13
2014-06-30,33.89,$1.91,17.74
2014-03-31,38.16,$1.93,19.77
2013-12-31,33.27,$1.96,16.97
2013-09-30,33.94,$2.05,16.56
2013-06-30,30.2,$1.98,15.25
2013-03-31,26.07,$1.98,13.17
2012-12-31,22.47,$1.92,11.7
2012-09-30,19.27,$1.89,10.19
2012-06-30,22.85,$1.88,12.15
2012-03-31,24.32,$1.81,13.43
2011-12-31,23.75,$1.75,13.57
2011-09-30,18.03,$1.67,10.8
2011-06-30,24.33,$1.58,15.4
2011-03-31,19.69,$1.50,13.12
2010-12-31,24.65,$1.39,17.74
2010-09-30,24.04,$1.40,17.17
2010-06-30,22.94,$1.34,17.12
2010-03-31,23.81,$1.30,18.31
2009-12-31,25.69,$1.40,18.35
