Algonquin Power & Utilities PE Ratio Historical Data,Algonquin Power & Utilities PE Ratio Historical Data,Algonquin Power & Utilities PE Ratio Historical Data,Algonquin Power & Utilities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.12,,32.0
2024-06-30,5.79,$0.16,36.19
2024-03-31,6.13,$-0.49,0.0
2023-12-31,6.03,$0.03,200.91
2023-09-30,5.55,$-0.35,0.0
2023-06-30,7.61,$-0.38,0.0
2023-03-31,7.64,$-0.06,0.0
2022-12-31,5.86,$-0.32,0.0
2022-09-30,9.54,$0.06,158.99
2022-06-30,11.56,$0.30,38.54
2022-03-31,13.19,$0.51,25.85
2021-12-31,12.14,$0.40,30.36
2021-09-30,12.17,$0.97,12.55
2021-06-30,12.22,$1.11,11.01
2021-03-31,12.86,$1.48,8.69
2020-12-31,13.23,$1.33,9.95
2020-09-30,11.58,$0.83,13.95
2020-06-30,10.19,$0.97,10.51
2020-03-31,10.43,$0.75,13.91
2019-12-31,10.89,$1.05,10.37
2019-09-30,10.44,$0.80,13.05
2019-06-30,9.13,$0.69,13.24
2019-03-31,8.4,$0.52,16.16
2018-12-31,7.41,$0.39,19.0
2018-09-30,7.54,$0.41,18.39
2018-06-30,6.95,$0.41,16.95
2018-03-31,7.04,$0.36,19.54
2017-12-31,7.82,$0.37,21.14
2017-09-30,7.33,$0.38,19.3
