Virtu Financial PE Ratio Historical Data,Virtu Financial PE Ratio Historical Data,Virtu Financial PE Ratio Historical Data,Virtu Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.84,,16.59
2024-06-30,22.28,$1.98,11.25
2024-03-31,20.14,$1.43,14.08
2023-12-31,19.63,$1.40,14.02
2023-09-30,16.51,$1.62,10.19
2023-06-30,16.13,$1.36,11.86
2023-03-31,17.6,$1.98,8.89
2022-12-31,18.76,$2.40,7.82
2022-09-30,18.89,$3.02,6.25
2022-06-30,21.07,$3.24,6.5
2022-03-31,33.19,$2.96,11.21
2021-12-31,25.53,$3.87,6.6
2021-09-30,21.45,$3.86,5.56
2021-06-30,24.03,$4.19,5.73
2021-03-31,26.79,$5.27,5.08
2020-12-31,21.53,$5.18,4.16
2020-09-30,19.47,$4.15,4.69
2020-06-30,19.79,$3.19,6.2
2020-03-31,17.29,$1.34,12.9
2019-12-31,13.11,$0.28,46.81
2019-09-30,13.22,$0.51,25.92
2019-06-30,17.38,$0.79,22.0
2018-12-31,20.15,$2.92,6.9
2018-09-30,16.0,$2.46,6.5
2018-06-30,20.54,$2.32,8.86
2018-03-31,25.34,$1.91,13.27
2017-12-31,13.94,$0.06,232.31
2019-03-31,18.75,$-0.12,0.0
2017-09-30,12.16,$0.16,76.0
2017-06-30,13.07,$0.51,25.63
2017-03-31,12.41,$0.72,17.23
2016-12-31,11.48,$0.88,13.05
2016-09-30,10.59,$0.88,12.04
2016-06-30,12.56,$1.05,11.96
2016-03-31,15.22,$0.84,18.12
