Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,65.09,,13.1
2024-06-30,49.66,$4.97,9.99
2024-03-31,50.94,$5.18,9.83
2023-12-31,63.74,$5.42,11.76
2023-09-30,47.15,$5.85,8.06
2023-06-30,42.28,$6.04,7.0
2023-03-31,61.59,$5.94,10.37
2022-12-31,78.6,$5.70,13.79
2022-09-30,68.94,$4.05,17.02
2022-06-30,72.99,$3.69,19.78
2022-03-31,74.59,$3.51,21.25
2021-12-31,74.0,$3.65,20.27
2021-09-30,68.7,$4.66,14.74
2021-06-30,67.68,$4.51,15.01
2021-03-31,75.01,$4.13,18.16
2020-12-31,64.72,$3.65,17.73
2020-09-30,46.13,$3.98,11.59
2020-06-30,58.54,$4.43,13.21
2020-03-31,55.75,$4.56,12.23
2019-12-31,71.58,$5.03,14.23
2019-09-30,63.85,$4.72,13.53
2019-06-30,64.75,$4.41,14.68
2019-03-31,68.49,$4.65,14.73
2018-12-31,59.09,$4.40,13.43
2018-09-30,69.05,$4.13,16.72
2018-06-30,65.24,$3.80,17.17
2018-03-31,59.25,$3.42,17.32
2017-12-31,57.53,$3.18,18.09
2017-09-30,61.21,$3.02,20.27
2017-06-30,54.41,$2.93,18.57
2017-03-31,52.8,$2.95,17.9
2016-12-31,56.93,$2.90,19.63
2016-09-30,43.53,$3.00,14.51
2016-06-30,36.58,$2.93,12.48
2016-03-31,36.56,$2.83,12.92
2015-12-31,36.78,$2.50,14.71
2015-09-30,36.24,$2.42,14.98
2015-06-30,36.66,$2.37,15.47
2015-03-31,34.11,$2.31,14.77
2014-12-31,33.09,$2.49,13.29
2014-09-30,27.45,$2.28,12.04
2014-06-30,29.3,$2.26,12.96
2014-03-31,29.87,$2.21,13.51
2013-12-31,29.49,$2.19,13.47
2013-09-30,26.77,$2.19,12.22
2013-06-30,25.71,$2.08,12.36
2013-03-31,24.13,$1.93,12.5
2012-12-31,21.29,$1.95,10.92
2012-09-30,21.97,$2.02,10.88
2012-06-30,21.18,$2.05,10.33
2012-03-31,20.68,$2.16,9.58
2011-12-31,19.5,$2.12,9.2
2011-09-30,15.43,$2.16,7.14
2011-06-30,18.46,$2.13,8.67
2011-03-31,18.86,$1.99,9.47
2010-12-31,18.75,$1.91,9.81
2010-09-30,15.51,$1.78,8.71
2010-06-30,16.85,$1.58,10.67
2010-03-31,16.72,$1.01,16.55
2009-12-31,14.04,$0.89,15.78
