Central Garden & Pet PE Ratio Historical Data,Central Garden & Pet PE Ratio Historical Data,Central Garden & Pet PE Ratio Historical Data,Central Garden & Pet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.31,,13.98
2024-06-30,33.03,$2.17,15.24
2024-03-31,36.92,$2.23,16.59
2023-12-31,35.23,$2.02,17.48
2023-09-30,32.07,$1.88,17.06
2023-06-30,29.17,$1.81,16.13
2023-03-31,31.26,$1.67,18.69
2022-12-31,28.64,$1.97,14.55
2022-09-30,27.33,$2.22,12.29
2022-06-30,32.01,$2.21,14.5
2022-03-31,32.62,$2.19,14.88
2021-12-31,38.28,$2.23,17.15
2021-09-30,34.4,$2.18,15.75
2021-06-30,38.64,$2.43,15.89
2021-03-31,41.51,$2.35,17.65
2020-12-31,29.06,$1.92,15.14
2020-09-30,28.91,$1.78,16.28
2020-06-30,27.03,$1.61,16.81
2020-03-31,20.46,$1.23,16.6
2019-12-31,23.49,$1.19,19.7
2019-09-30,22.18,$1.41,15.75
2019-06-30,19.71,$2.01,9.82
2019-03-31,18.6,$2.06,9.05
2018-09-30,26.51,$1.87,14.16
2018-06-30,32.38,$1.78,18.15
2018-03-31,31.69,$1.18,26.95
2017-12-31,30.17,$0.98,30.66
2017-09-30,29.75,$1.12,26.56
2018-12-31,25.0,$1.18,21.26
2017-06-30,24.02,$1.06,22.57
2017-03-31,27.78,$0.98,28.46
2016-12-31,24.72,$0.96,25.75
2016-09-30,19.84,$0.70,28.51
2016-06-30,17.37,$0.71,24.39
2016-03-31,13.03,$0.61,21.43
2015-12-31,10.88,$0.46,23.45
2015-09-30,12.89,$0.51,25.17
2015-06-30,9.13,$0.52,17.55
2015-03-31,8.5,$0.29,29.5
2014-12-31,7.64,$0.26,29.84
2014-09-30,6.43,$0.14,44.67
2014-06-30,7.36,$-0.17,0.0
2014-03-31,6.62,$-0.02,0.0
2013-12-31,5.4,$0.01,0.0
2013-09-30,5.48,$-0.04,0.0
2013-06-30,5.52,$0.17,32.86
2013-03-31,6.58,$0.32,20.55
2012-12-31,8.38,$0.31,26.85
2012-09-30,9.66,$0.40,24.16
2012-06-30,8.71,$0.82,10.68
2012-03-31,7.7,$0.87,8.83
2011-09-30,5.66,$0.38,14.75
2011-06-30,8.12,$0.44,18.45
2011-03-31,7.37,$-0.02,0.0
2010-12-31,7.9,$-0.14,0.0
2010-09-30,8.29,$0.38,21.58
2011-12-31,6.66,$0.46,14.34
2010-06-30,7.18,$0.78,9.25
2010-03-31,7.33,$0.81,9.07
2009-12-31,7.95,$0.79,10.04
