Live Oak Bancshares PE Ratio Historical Data,Live Oak Bancshares PE Ratio Historical Data,Live Oak Bancshares PE Ratio Historical Data,Live Oak Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,50.22,,22.93
2024-06-30,35.04,$2.19,16.0
2024-03-31,41.48,$1.99,20.84
2023-12-31,45.43,$1.64,27.7
2023-09-30,28.88,$1.32,21.88
2023-06-30,26.22,$1.40,18.73
2023-03-31,24.26,$3.17,7.65
2022-12-31,30.04,$3.92,7.66
2022-09-30,30.41,$4.54,6.7
2022-06-30,33.65,$4.34,7.75
2022-03-31,50.49,$3.59,14.06
2021-12-31,86.56,$3.71,23.33
2021-09-30,63.07,$3.73,16.91
2021-06-30,58.46,$3.78,15.46
2021-03-31,67.82,$2.46,27.57
2020-12-31,46.97,$1.39,33.79
2020-09-30,25.05,$0.88,28.47
2020-06-30,14.33,$0.16,89.58
2020-03-31,12.29,$0.19,64.68
2019-12-31,18.7,$0.44,42.51
2019-09-30,17.78,$0.53,33.54
2019-06-30,16.82,$0.78,21.56
2019-03-31,14.3,$1.00,14.3
2018-12-31,14.47,$1.24,11.67
2018-09-30,26.14,$2.72,9.61
2018-06-30,29.86,$2.71,11.02
2018-03-31,27.06,$2.64,10.25
2017-12-31,23.19,$2.51,9.24
2017-09-30,22.77,$0.93,24.48
2017-06-30,23.47,$0.70,33.53
2017-03-31,20.98,$0.43,48.79
2016-12-31,17.91,$0.39,45.92
2016-09-30,13.94,$0.39,35.75
2016-06-30,13.62,$0.38,35.85
