TripAdvisor PE Ratio Historical Data,TripAdvisor PE Ratio Historical Data,TripAdvisor PE Ratio Historical Data,TripAdvisor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.27,,101.8
2024-06-30,17.81,$0.15,118.73
2024-03-31,27.79,$0.15,185.27
2023-12-31,21.53,$0.06,358.83
2023-09-30,16.58,$-0.18,0.0
2023-06-30,16.49,$-0.20,0.0
2023-03-31,19.86,$-0.16,0.0
2022-12-31,17.98,$0.12,149.83
2022-09-30,22.08,$-0.07,0.0
2022-06-30,17.8,$-0.23,0.0
2022-03-31,27.12,$-0.73,0.0
2021-12-31,27.26,$-1.08,0.0
2021-09-30,33.85,$-1.41,0.0
2021-06-30,40.3,$-1.78,0.0
2021-03-31,53.79,$-2.63,0.0
2020-12-31,28.78,$-2.16,0.0
2020-09-30,19.59,$-1.51,0.0
2020-06-30,19.01,$-0.79,0.0
2020-03-31,17.39,$0.59,29.47
2019-12-31,30.38,$0.89,34.13
2019-09-30,34.43,$0.83,41.49
2019-06-30,41.21,$0.96,42.93
2019-03-31,45.8,$0.95,48.21
2018-12-31,48.02,$0.81,59.28
2018-09-30,45.46,$0.16,284.15
2018-06-30,49.59,$-0.15,0.0
2018-03-31,36.4,$-0.19,0.0
2017-12-31,30.68,$-0.14,0.0
2017-09-30,36.08,$0.47,76.77
2017-06-30,34.01,$0.66,51.52
2017-03-31,38.42,$0.70,54.89
2016-12-31,41.28,$0.79,52.25
2016-09-30,56.24,$0.80,70.3
2016-06-30,57.24,$0.94,60.89
2016-03-31,59.2,$1.11,53.33
2015-12-31,75.89,$1.36,55.8
2015-09-30,56.1,$1.59,35.28
2015-06-30,77.57,$1.45,53.5
2015-03-31,74.04,$1.52,48.71
2014-12-31,66.46,$1.56,42.6
2014-09-30,81.38,$1.45,56.13
2014-06-30,96.73,$1.46,66.25
2014-03-31,80.64,$1.45,55.62
2013-12-31,73.74,$1.41,52.3
2013-09-30,67.51,$1.50,45.01
2013-06-30,54.19,$1.53,35.42
2013-03-31,46.75,$1.44,32.47
2012-12-31,37.32,$1.36,27.44
2012-09-30,29.31,$1.29,22.72
