John B Sanfilippo & Son PE Ratio Historical Data,John B Sanfilippo & Son PE Ratio Historical Data,John B Sanfilippo & Son PE Ratio Historical Data,John B Sanfilippo & Son PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,97.04,,18.81
2024-06-30,95.16,$5.16,18.44
2024-03-31,102.71,$5.56,18.47
2023-12-31,99.92,$5.76,17.35
2023-09-30,95.81,$5.57,17.2
2023-06-30,111.53,$5.40,20.65
2023-03-31,91.0,$5.64,16.13
2022-12-31,76.35,$5.31,14.38
2022-09-30,70.27,$5.00,14.05
2022-06-30,65.17,$5.32,12.25
2022-03-31,75.02,$4.89,15.34
2021-12-31,81.06,$5.14,15.77
2021-09-30,73.47,$5.72,12.84
2021-06-30,77.0,$5.17,14.89
2021-03-31,78.57,$4.99,15.75
2020-12-31,66.66,$4.89,13.63
2020-09-30,63.71,$4.69,13.59
2020-06-30,70.11,$4.70,14.92
2020-03-31,72.61,$4.79,15.16
2019-12-31,74.14,$4.52,16.4
2019-09-30,76.91,$3.98,19.32
2019-06-30,61.19,$3.43,17.84
2019-03-31,55.18,$2.94,18.77
2018-12-31,42.74,$2.79,15.32
2018-09-30,54.81,$2.49,22.01
2018-06-30,55.34,$2.83,19.56
2018-03-31,43.02,$2.93,14.68
2017-12-31,47.02,$2.73,17.22
2017-09-30,50.04,$3.18,15.73
2017-06-30,45.16,$3.16,14.29
2017-03-31,52.37,$3.21,16.31
2016-12-31,50.37,$2.93,17.19
2016-09-30,35.37,$2.87,12.32
2016-06-30,27.82,$2.69,10.34
2016-03-31,45.08,$2.80,16.1
2015-12-31,35.26,$3.11,11.34
2015-09-30,32.32,$2.79,11.59
2015-06-30,32.73,$2.61,12.54
2015-03-31,27.18,$2.45,11.09
2014-12-31,28.69,$2.20,13.04
2014-09-30,19.68,$2.28,8.63
2014-06-30,16.1,$2.36,6.82
2014-03-31,14.0,$2.28,6.14
2013-12-31,15.01,$1.98,7.58
2013-09-30,13.28,$1.91,6.95
2013-06-30,11.54,$1.99,5.8
2013-03-31,11.44,$1.84,6.22
2012-12-31,10.41,$1.94,5.37
2012-09-30,7.08,$2.05,3.45
2012-06-30,9.71,$1.59,6.11
2012-03-31,6.78,$1.44,4.71
2011-12-31,4.1,$0.78,5.26
2011-09-30,4.3,$0.39,11.02
2011-06-30,4.6,$0.26,17.7
2011-03-31,6.36,$0.30,21.21
2010-12-31,6.77,$0.65,10.41
2010-09-30,7.18,$0.99,7.25
2010-06-30,7.87,$1.34,5.87
2010-03-31,8.06,$1.46,5.52
2009-12-31,8.49,$1.41,6.02
