Travere Therapeutics PE Ratio Historical Data,Travere Therapeutics PE Ratio Historical Data,Travere Therapeutics PE Ratio Historical Data,Travere Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.25,,0.0
2024-06-30,8.22,$-1.88,0.0
2024-03-31,7.71,$-2.10,0.0
2023-12-31,8.99,$-1.61,0.0
2023-09-30,8.94,$-1.46,0.0
2023-06-30,15.36,$-4.52,0.0
2023-03-31,22.49,$-4.44,0.0
2022-12-31,21.03,$-4.37,0.0
2022-09-30,24.64,$-4.18,0.0
2022-06-30,24.23,$-3.68,0.0
2022-03-31,25.77,$-3.27,0.0
2021-12-31,31.04,$-3.03,0.0
2021-09-30,24.25,$-4.56,0.0
2021-06-30,14.59,$-4.41,0.0
2021-03-31,24.97,$-4.35,0.0
2020-12-31,27.26,$-3.37,0.0
2020-09-30,18.46,$-1.70,0.0
2020-06-30,20.41,$-2.11,0.0
2020-03-31,14.59,$-2.45,0.0
2019-12-31,14.2,$-3.46,0.0
2019-09-30,11.59,$-2.94,0.0
2019-06-30,20.09,$-3.43,0.0
2019-03-31,22.63,$-3.07,0.0
2018-12-31,22.63,$-2.54,0.0
2018-09-30,28.73,$-2.91,0.0
2018-06-30,27.26,$-2.03,0.0
2018-03-31,22.36,$-1.81,0.0
2017-12-31,21.07,$-1.67,0.0
2017-09-30,24.89,$-1.51,0.0
2017-06-30,19.39,$-2.05,0.0
2017-03-31,18.46,$-2.08,0.0
2016-12-31,18.93,$-1.84,0.0
2016-09-30,22.38,$-1.59,0.0
2016-06-30,17.81,$1.19,14.97
2016-03-31,13.66,$0.83,16.46
2015-12-31,19.29,$2.23,8.65
2015-09-30,20.26,$1.27,15.95
2015-06-30,33.15,$-1.40,0.0
2015-03-31,23.96,$-1.57,0.0
2014-12-31,12.24,$-5.92,0.0
2014-09-30,9.02,$-4.82,0.0
2014-06-30,11.74,$-4.64,0.0
2014-03-31,21.2,$-4.15,0.0
2013-12-31,7.0,$-1.12,0.0
2013-09-30,6.5,$-1.12,0.0
2013-06-30,5.55,$-0.41,0.0
