Sally Beauty Holdings PE Ratio Historical Data,Sally Beauty Holdings PE Ratio Historical Data,Sally Beauty Holdings PE Ratio Historical Data,Sally Beauty Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.96,,8.31
2024-06-30,10.73,$1.56,6.88
2023-12-31,13.28,$1.57,8.46
2023-09-30,8.38,$1.68,4.99
2023-06-30,12.35,$1.49,8.29
2023-03-31,15.58,$1.46,10.67
2022-12-31,12.52,$1.51,8.29
2022-09-30,12.6,$1.65,7.64
2022-06-30,11.92,$2.04,5.84
2022-03-31,15.63,$2.27,6.89
2021-12-31,18.46,$2.19,8.43
2021-09-30,16.85,$2.09,8.06
2021-06-30,22.07,$2.12,10.41
2021-03-31,20.13,$1.25,16.1
2020-12-31,13.04,$1.03,12.66
2020-09-30,8.69,$0.98,8.87
2020-06-30,12.53,$0.94,13.33
2020-03-31,8.08,$1.74,4.64
2019-12-31,18.25,$2.16,8.45
2019-09-30,14.89,$2.25,6.62
2019-06-30,13.34,$2.13,6.26
2019-03-31,18.41,$2.02,9.11
2018-12-31,17.05,$1.97,8.65
2018-09-30,18.39,$2.08,8.84
2018-06-30,16.03,$1.89,8.48
2018-03-31,16.45,$1.90,8.66
2017-12-31,18.76,$1.81,10.36
2017-09-30,19.58,$1.55,12.63
2017-06-30,20.25,$1.64,12.35
2017-03-31,20.44,$1.61,12.7
2016-12-31,26.42,$1.62,16.31
2016-09-30,25.68,$1.51,17.01
2016-06-30,29.41,$1.51,19.48
2016-03-31,32.38,$1.44,22.49
2015-12-31,27.89,$1.42,19.64
2015-09-30,23.75,$1.53,15.52
2015-06-30,31.58,$1.59,19.86
2015-03-31,34.37,$1.55,22.17
2014-09-30,27.37,$1.51,18.13
2014-06-30,25.08,$1.50,16.72
2014-03-31,27.4,$1.43,19.16
2013-12-31,30.23,$1.50,20.15
2013-09-30,26.16,$1.51,17.32
2014-12-31,30.74,$1.45,21.2
2013-06-30,31.1,$1.45,21.45
2013-03-31,29.38,$1.40,20.99
2012-12-31,23.57,$1.39,16.96
2012-09-30,25.09,$1.23,20.4
2012-06-30,25.74,$1.17,22.0
2012-03-31,24.8,$1.17,21.2
2011-12-31,21.13,$1.08,19.56
2011-09-30,16.6,$1.14,14.56
2011-06-30,17.1,$1.08,15.83
2011-03-31,14.01,$0.93,15.06
2010-12-31,14.53,$0.86,16.9
2010-09-30,11.2,$0.78,14.36
2010-06-30,8.2,$0.70,11.71
2010-03-31,8.92,$0.65,13.72
2009-12-31,7.65,$0.59,12.97
2009-09-30,7.11,$0.72,9.88
