MicroStrategy PE Ratio Historical Data,MicroStrategy PE Ratio Historical Data,MicroStrategy PE Ratio Historical Data,MicroStrategy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,193.42,,0.0
2024-06-30,137.75,$-1.40,0.0
2024-03-31,170.46,$-0.67,0.0
2023-12-31,63.16,$2.82,22.41
2023-09-30,32.83,$0.13,254.48
2023-06-30,34.24,$0.90,38.09
2023-03-31,29.23,$-8.65,0.0
2022-12-31,14.16,$-12.99,0.0
2022-09-30,21.23,$-11.64,0.0
2022-06-30,16.43,$-11.76,0.0
2022-03-31,48.63,$-5.43,0.0
2021-12-31,54.45,$-5.42,0.0
2021-09-30,57.84,$-4.55,0.0
2021-06-30,66.45,$-4.33,0.0
2021-03-31,67.88,$-1.23,0.0
2020-12-31,38.86,$-0.08,0.0
2020-09-30,15.06,$0.01,1254.67
2020-06-30,11.83,$0.25,46.57
2020-03-31,11.81,$0.42,28.32
2019-12-31,14.26,$0.33,42.83
2019-09-30,14.84,$0.25,60.56
2019-06-30,14.33,$0.26,54.91
2019-03-31,14.43,$0.11,137.38
2018-12-31,12.78,$0.20,64.85
2018-09-30,14.06,$-0.06,0.0
2018-06-30,12.78,$-0.02,0.0
2018-03-31,12.9,$0.04,339.45
2017-12-31,13.13,$0.15,86.95
2017-09-30,12.77,$0.65,19.68
2017-06-30,19.17,$0.72,26.47
2017-03-31,18.78,$0.79,23.71
2016-12-31,19.74,$0.79,25.05
2016-09-30,16.74,$0.86,19.54
2016-06-30,17.5,$0.83,21.04
2016-03-31,17.97,$0.86,20.83
2015-12-31,17.93,$0.92,19.53
2015-09-30,19.65,$0.78,25.22
2015-06-30,17.01,$0.57,30.05
2015-03-31,16.92,$0.28,60.43
2014-12-31,16.24,$0.04,369.09
2014-09-30,13.08,$-0.01,0.0
2014-06-30,14.06,$0.15,95.66
2014-03-31,11.54,$0.22,51.51
2013-12-31,12.42,$0.74,16.83
2013-09-30,10.38,$0.67,15.53
2013-06-30,8.7,$0.56,15.56
2013-03-31,10.11,$0.64,15.84
2012-12-31,9.34,$0.18,51.03
2012-09-30,13.41,$0.19,70.19
2012-06-30,12.99,$0.19,67.64
2012-03-31,14.0,$0.15,91.5
2011-12-31,10.83,$0.31,34.83
2011-09-30,11.41,$0.29,38.93
2011-06-30,16.27,$0.35,47.02
2010-12-31,8.55,$0.38,22.73
2010-09-30,8.66,$0.38,22.67
2010-06-30,7.51,$0.33,22.82
2010-03-31,8.51,$0.41,21.0
2009-12-31,9.4,$0.43,21.87
2011-03-31,13.45,$0.45,29.75
