Intel PE Ratio Historical Data,Intel PE Ratio Historical Data,Intel PE Ratio Historical Data,Intel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,22.04,,95.83
2024-06-30,30.77,$0.23,133.77
2024-03-31,43.7,$0.96,45.53
2023-12-31,49.58,$0.39,127.12
2023-09-30,34.96,$-0.40,0.0
2023-06-30,32.77,$-0.22,0.0
2023-03-31,31.88,$-0.68,0.0
2022-12-31,25.47,$1.11,22.95
2022-09-30,24.52,$2.94,8.34
2022-06-30,35.23,$3.93,8.96
2021-12-31,47.74,$4.86,9.82
2021-09-30,49.05,$5.15,9.53
2021-06-30,51.36,$5.46,9.41
2021-03-31,58.19,$5.24,11.11
2020-12-31,45.03,$5.61,8.03
2022-03-31,46.29,$5.50,8.42
2020-09-30,46.47,$5.10,9.11
2020-06-30,53.33,$5.43,9.82
2020-03-31,47.97,$5.36,8.95
2019-12-31,52.79,$5.43,9.72
2019-09-30,45.21,$4.90,9.23
2018-12-31,40.39,$4.48,9.02
2018-09-30,40.45,$3.21,12.6
2018-06-30,42.26,$2.77,15.26
2018-03-31,44.02,$2.30,19.14
2017-12-31,38.76,$1.98,19.58
2017-09-30,31.79,$2.86,11.12
2017-06-30,27.96,$2.61,10.71
2017-03-31,29.67,$2.30,12.9
2016-12-31,29.62,$2.43,12.19
2016-09-30,30.6,$2.34,13.08
2016-06-30,26.39,$2.20,11.99
2015-12-31,27.23,$2.34,11.64
2015-09-30,23.64,$2.34,10.1
2015-06-30,23.68,$2.12,11.17
2015-03-31,24.17,$2.23,10.84
2014-12-31,27.85,$2.37,11.75
2016-03-31,25.8,$2.01,12.84
2014-09-30,26.54,$2.10,12.64
2014-06-30,23.39,$2.02,11.58
2014-03-31,19.38,$1.86,10.42
2013-12-31,19.3,$1.88,10.27
2013-09-30,16.88,$1.85,9.13
2013-06-30,17.68,$1.85,9.55
2013-03-31,15.78,$2.00,7.89
2012-12-31,14.75,$2.13,6.92
2012-09-30,16.04,$2.29,7.0
2012-06-30,18.7,$2.36,7.92
2012-03-31,19.59,$2.36,8.3
2011-12-31,16.76,$2.39,7.01
2011-09-30,14.62,$2.34,6.25
2011-06-30,15.04,$2.21,6.81
2011-03-31,13.59,$2.18,6.24
2010-12-31,14.05,$2.05,6.85
2010-09-30,12.73,$1.86,6.84
2010-06-30,12.8,$2.26,5.66
2010-03-31,14.56,$2.08,7.0
2009-12-31,13.22,$1.58,8.37
2019-06-30,41.72,$1.29,32.34
2009-09-30,12.59,$1.24,10.15
