Artisan Partners Asset Management PE Ratio Historical Data,Artisan Partners Asset Management PE Ratio Historical Data,Artisan Partners Asset Management PE Ratio Historical Data,Artisan Partners Asset Management PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,46.29,,13.94
2024-06-30,40.56,$3.32,12.22
2024-03-31,44.38,$3.28,13.53
2023-12-31,41.8,$3.16,13.23
2023-09-30,34.8,$3.00,11.6
2023-06-30,35.96,$2.89,12.44
2023-03-31,28.8,$2.75,10.47
2022-12-31,26.09,$3.28,7.96
2022-09-30,23.27,$3.82,6.09
2022-06-30,30.26,$4.50,6.72
2021-12-31,37.98,$5.07,7.49
2021-09-30,38.18,$4.97,7.68
2021-06-30,38.91,$4.57,8.51
2021-03-31,39.26,$4.17,9.42
2020-12-31,36.98,$3.70,9.99
2022-03-31,32.76,$3.08,10.63
2020-09-30,28.11,$2.94,9.56
2020-06-30,23.03,$2.72,8.47
2020-03-31,14.89,$2.66,5.6
2019-12-31,21.63,$2.60,8.32
2019-09-30,18.48,$2.41,7.67
2019-06-30,17.6,$2.47,7.12
2019-03-31,15.75,$2.53,6.23
2018-12-31,12.99,$2.81,4.62
2018-09-30,18.61,$1.57,11.85
2018-06-30,17.0,$1.41,12.06
2018-03-31,18.44,$1.14,16.17
2017-12-31,20.99,$0.76,27.62
2017-09-30,17.04,$1.85,9.21
2017-06-30,15.74,$1.65,9.54
2017-03-31,13.85,$1.58,8.77
2016-12-31,14.47,$1.56,9.28
2016-09-30,12.94,$1.61,8.04
2016-06-30,12.89,$1.64,7.86
2016-03-31,14.08,$1.76,8.0
2015-12-31,15.81,$1.84,8.59
2015-09-30,15.2,$1.95,7.8
2015-06-30,19.79,$2.08,9.52
2015-03-31,19.11,$2.00,9.55
2014-12-31,20.53,$-0.72,0.0
2014-09-30,20.92,$-4.34,0.0
2014-06-30,22.55,$-4.56,0.0
2014-03-31,25.31,$-4.60,0.0
2013-12-31,24.76,$-2.12,0.0
