National Fuel Gas PE Ratio Historical Data,National Fuel Gas PE Ratio Historical Data,National Fuel Gas PE Ratio Historical Data,National Fuel Gas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.42,,18.09
2024-06-30,53.73,$3.45,15.57
2024-03-31,52.77,$5.04,10.47
2023-12-31,48.82,$4.77,10.24
2023-09-30,50.02,$5.17,9.68
2023-06-30,49.03,$6.08,8.06
2023-03-31,54.59,$6.25,8.73
2022-12-31,59.35,$6.54,9.08
2022-09-30,57.29,$6.14,9.33
2022-06-30,61.01,$5.38,11.34
2022-03-31,63.01,$5.15,12.23
2021-12-31,58.26,$4.56,12.78
2021-09-30,47.51,$3.97,11.97
2021-06-30,46.87,$1.42,33.01
2021-03-31,44.45,$0.95,46.79
2020-12-31,36.25,$-1.51,0.0
2020-09-30,35.39,$-1.36,0.0
2020-06-30,36.17,$0.78,46.37
2020-03-31,31.82,$1.04,30.59
2019-12-31,39.26,$3.31,11.86
2019-09-30,39.21,$3.49,11.24
2019-06-30,43.68,$3.39,12.89
2019-03-31,50.06,$3.39,14.77
2018-12-31,41.74,$3.41,12.24
2018-09-30,45.34,$4.53,10.01
2018-06-30,42.5,$4.62,9.2
2018-03-31,40.96,$4.58,8.94
2017-12-31,43.37,$4.56,9.51
2017-09-30,44.37,$3.30,13.45
2017-06-30,43.45,$3.21,13.54
2017-03-31,46.06,$2.62,17.58
2016-12-31,43.46,$-0.16,0.0
2016-09-30,41.19,$-3.43,0.0
2016-06-30,43.02,$-6.09,0.0
2016-03-31,37.57,$-9.63,0.0
2015-12-31,31.85,$-7.69,0.0
2015-09-30,36.89,$-4.46,0.0
2015-06-30,43.12,$-1.56,0.0
2015-03-31,43.89,$2.64,16.62
2014-12-31,50.25,$3.56,14.12
2014-09-30,50.32,$3.53,14.25
2014-06-30,55.98,$3.42,16.37
2014-03-31,49.83,$3.35,14.87
2013-12-31,50.52,$3.25,15.54
2013-09-30,48.4,$3.09,15.66
2013-06-30,40.56,$3.10,13.08
2013-03-31,42.66,$2.93,14.56
2012-12-31,35.04,$2.72,12.88
2012-09-30,37.1,$2.64,14.05
2012-06-30,32.02,$2.51,12.76
2012-03-31,32.55,$2.55,12.76
2011-12-31,37.31,$3.12,11.96
2011-09-30,32.47,$3.09,10.51
2011-06-30,48.21,$3.10,15.55
2011-03-31,48.76,$3.05,15.99
2010-12-31,43.03,$2.64,16.3
2010-09-30,33.79,$2.72,12.42
2010-06-30,29.72,$2.59,11.47
2010-03-31,32.5,$2.61,12.45
2009-12-31,31.94,$2.56,12.48
