Amgen PE Ratio Historical Data,Amgen PE Ratio Historical Data,Amgen PE Ratio Historical Data,Amgen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,333.83,,47.69
2024-03-31,280.34,$7.00,40.05
2023-12-31,281.79,$12.49,22.56
2023-09-30,260.88,$14.07,18.54
2023-06-30,213.79,$12.23,17.48
2023-03-31,230.6,$13.64,16.91
2022-12-31,248.34,$10.81,22.97
2024-06-30,310.28,$10.49,29.58
2022-09-30,211.68,$12.47,16.97
2022-06-30,226.73,$11.80,19.21
2022-03-31,223.57,$10.16,22.01
2021-12-31,206.21,$10.31,20.0
2021-09-30,193.28,$9.71,19.91
2021-06-30,219.87,$9.83,22.37
2021-03-31,222.88,$12.07,18.47
2020-12-31,204.42,$12.31,16.61
2020-09-30,224.46,$12.40,18.1
2020-06-30,206.92,$12.24,16.91
2020-03-31,176.68,$12.76,13.85
2019-12-31,208.59,$12.87,16.21
2019-09-30,166.34,$13.03,12.77
2019-06-30,158.4,$12.62,12.55
2019-03-31,161.92,$12.53,12.92
2018-12-31,164.64,$12.60,13.07
2018-09-30,174.12,$3.70,47.06
2018-06-30,154.02,$3.60,42.78
2018-03-31,141.17,$3.03,46.59
2017-12-31,142.95,$2.57,55.62
2017-09-30,152.24,$11.05,13.78
2017-06-30,139.69,$10.97,12.73
2017-03-31,132.12,$10.53,12.55
2016-12-31,116.94,$10.24,11.42
2016-09-30,132.51,$10.02,13.22
2016-06-30,120.17,$9.78,12.29
2016-03-31,117.65,$9.46,12.44
2015-12-31,126.48,$9.07,13.95
2015-09-30,107.11,$8.38,12.78
2015-06-30,118.44,$7.55,15.69
2015-03-31,122.71,$7.41,16.56
2014-12-31,121.65,$6.63,18.35
2014-09-30,106.87,$6.74,15.86
2014-06-30,89.63,$6.78,13.22
2013-12-31,85.48,$6.65,12.85
2013-09-30,83.52,$6.33,13.19
2013-06-30,73.3,$5.94,12.34
2013-03-31,75.83,$5.70,13.3
2012-12-31,63.41,$5.43,11.68
2014-03-31,92.88,$5.90,15.74
2012-09-30,61.75,$5.59,11.05
2012-06-30,53.18,$4.68,11.36
2012-03-31,49.32,$4.32,11.42
2011-12-31,46.35,$4.04,11.47
2011-09-30,39.48,$4.03,9.8
2011-06-30,41.69,$4.81,8.67
2011-03-31,38.19,$4.81,7.94
2010-12-31,39.22,$4.79,8.19
2010-09-30,39.37,$4.63,8.5
2010-06-30,37.58,$4.71,7.98
2010-03-31,42.75,$4.71,9.08
2009-12-31,40.41,$4.51,8.96
