Greif PE Ratio Historical Data,Greif PE Ratio Historical Data,Greif PE Ratio Historical Data,Greif PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,65.2,,14.17
2024-07-31,66.1,$4.60,14.37
2024-04-30,60.25,$4.65,12.96
2024-01-31,61.05,$5.78,10.56
2023-10-31,61.43,$6.15,9.99
2023-07-31,71.02,$6.66,10.66
2023-04-30,59.86,$7.47,8.01
2023-01-31,67.52,$7.66,8.81
2022-10-31,62.12,$6.30,9.86
2022-07-31,65.76,$6.37,10.32
2022-04-30,56.06,$5.90,9.5
2022-01-31,54.24,$6.32,8.58
2021-10-31,58.85,$6.54,9.0
2021-07-31,54.76,$5.54,9.88
2021-04-30,54.26,$4.00,13.57
2021-01-31,40.2,$1.68,23.93
2020-10-31,35.81,$1.83,19.57
2020-07-31,30.33,$2.18,13.91
2020-04-30,29.16,$2.89,10.09
2020-01-31,34.27,$2.93,11.69
2019-10-31,32.88,$2.89,11.38
2019-07-31,29.02,$2.47,11.75
2019-04-30,32.38,$2.56,12.65
2019-01-31,31.61,$3.10,10.2
2018-10-31,37.95,$3.16,12.01
2018-07-31,43.35,$3.23,13.42
2018-04-30,46.24,$2.69,17.19
2017-10-31,43.24,$2.02,21.4
2017-07-31,43.35,$1.59,27.27
2017-04-30,44.97,$1.81,24.84
2017-01-31,43.83,$1.98,22.14
2016-10-31,35.4,$2.41,14.69
2018-01-31,46.35,$2.08,22.28
2016-07-31,30.05,$1.33,22.59
2016-04-30,25.71,$0.70,36.72
2016-01-31,19.3,$0.52,37.11
2015-10-31,23.61,$1.23,19.2
2015-07-31,22.06,$1.17,18.86
2015-04-30,28.7,$1.23,23.33
2015-01-31,26.61,$1.49,17.86
2014-10-31,30.42,$1.48,20.55
2014-07-31,34.33,$1.96,17.52
2014-04-30,36.79,$2.55,14.43
2014-01-31,34.09,$2.64,12.91
2013-10-31,35.73,$2.56,13.96
2013-07-31,36.64,$2.38,15.4
2013-04-30,31.66,$2.28,13.89
2013-01-31,30.63,$2.21,13.86
2012-10-31,27.1,$2.19,12.37
2012-07-31,27.68,$2.10,13.18
2012-04-30,33.98,$2.47,13.76
2012-01-31,30.45,$2.71,11.24
2011-10-31,27.87,$3.60,7.74
2011-07-31,37.67,$4.36,8.64
2011-04-30,38.07,$4.02,9.47
2010-10-31,35.52,$3.58,9.92
2010-07-31,35.81,$3.63,9.86
2010-04-30,35.29,$3.22,10.96
2010-01-31,28.63,$3.17,9.03
2009-10-31,31.45,$2.95,10.66
2011-01-31,38.39,$1.63,23.55
