CarGurus PE Ratio Historical Data,CarGurus PE Ratio Historical Data,CarGurus PE Ratio Historical Data,CarGurus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.45,,0.0
2024-06-30,26.2,$-0.50,0.0
2024-03-31,23.08,$0.28,82.43
2023-12-31,24.16,$0.18,134.22
2023-09-30,17.52,$0.59,29.69
2023-06-30,22.63,$0.56,40.41
2023-03-31,18.68,$0.35,53.37
2022-12-31,14.01,$-0.28,0.0
2022-09-30,14.17,$-1.16,0.0
2022-06-30,21.49,$-1.06,0.0
2022-03-31,42.46,$-0.74,0.0
2021-12-31,33.64,$-0.02,0.0
2021-09-30,31.41,$0.88,35.69
2021-06-30,26.23,$0.93,28.2
2021-03-31,23.83,$0.76,31.36
2020-12-31,31.73,$0.68,46.66
2020-09-30,21.63,$0.58,37.29
2020-06-30,25.35,$0.38,66.71
2020-03-31,18.94,$0.43,44.05
2019-12-31,35.18,$0.43,81.81
2019-09-30,30.95,$0.42,73.69
2019-03-31,40.06,$0.61,65.67
2018-12-31,33.73,$0.53,63.64
2018-09-30,55.69,$0.44,126.57
2018-06-30,34.74,$0.38,91.42
