Bel Fuse PE Ratio Historical Data,Bel Fuse PE Ratio Historical Data,Bel Fuse PE Ratio Historical Data,Bel Fuse PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,84.66,,16.13
2024-06-30,65.12,$5.25,12.4
2024-03-31,60.13,$5.94,10.12
2023-12-31,66.49,$5.83,11.41
2023-09-30,47.45,$6.00,7.91
2023-06-30,57.02,$5.80,9.83
2023-03-31,37.25,$4.98,7.48
2022-12-31,32.57,$4.24,7.68
2022-09-30,24.91,$3.77,6.61
2022-06-30,15.29,$2.90,5.27
2022-03-31,17.46,$2.14,8.16
2021-12-31,12.59,$1.99,6.32
2021-09-30,12.03,$1.63,7.38
2021-06-30,13.86,$1.77,7.83
2021-03-31,19.08,$1.62,11.78
2020-12-31,14.36,$1.05,13.67
2020-09-30,10.14,$0.24,42.23
2020-06-30,10.11,$-0.90,0.0
2020-03-31,9.1,$-1.12,0.0
2019-12-31,19.09,$-0.72,0.0
2019-09-30,13.93,$0.13,107.16
2019-06-30,15.85,$1.60,9.9
2019-03-31,23.26,$1.92,12.12
2018-12-31,16.89,$1.72,9.82
2018-09-30,24.22,$-0.27,0.0
2018-06-30,19.04,$-0.81,0.0
2018-03-31,17.15,$-1.11,0.0
2017-12-31,22.78,$-0.95,0.0
2017-09-30,28.18,$0.98,28.75
2017-06-30,22.25,$1.36,16.36
2017-03-31,22.94,$3.03,7.57
2016-12-31,27.69,$-5.17,0.0
2016-09-30,21.57,$-5.25,0.0
2016-06-30,15.83,$-5.64,0.0
2016-03-31,12.94,$-7.05,0.0
2015-12-31,15.25,$1.58,9.65
2015-09-30,17.09,$1.55,11.02
2015-06-30,17.98,$1.28,14.05
2015-03-31,16.61,$1.03,16.13
2014-12-31,23.8,$0.77,30.91
2014-09-30,21.47,$1.22,17.6
2014-06-30,22.21,$1.79,12.41
2014-03-31,18.89,$1.74,10.86
2013-12-31,18.32,$1.47,12.46
2013-09-30,14.94,$0.64,23.34
2013-06-30,11.46,$0.15,76.41
2013-03-31,13.24,$0.04,331.04
2012-12-31,16.52,$0.10,165.22
2012-09-30,15.72,$0.41,38.35
2012-06-30,14.77,$0.16,92.29
2011-12-31,15.6,$0.31,50.33
2011-09-30,12.92,$0.21,61.53
2011-06-30,17.92,$0.98,18.28
2011-03-31,18.12,$1.44,12.58
2010-12-31,19.62,$1.18,16.62
2010-09-30,17.03,$1.52,11.21
2010-06-30,13.46,$-0.28,0.0
2010-03-31,16.37,$-0.83,0.0
2009-12-31,17.41,$-0.76,0.0
2009-09-30,15.36,$-0.94,0.0
