National Bank Holdings PE Ratio Historical Data,National Bank Holdings PE Ratio Historical Data,National Bank Holdings PE Ratio Historical Data,National Bank Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.55,,13.46
2024-06-30,38.8,$3.31,11.72
2024-03-31,35.84,$3.48,10.3
2023-12-31,36.66,$3.72,9.85
2023-09-30,29.09,$3.29,8.84
2023-06-30,28.16,$2.85,9.88
2023-03-31,32.17,$2.67,12.05
2022-12-31,40.2,$2.21,18.19
2022-09-30,35.17,$2.51,14.01
2022-06-30,36.18,$2.65,13.65
2022-03-31,37.87,$2.75,13.77
2021-12-31,41.09,$3.01,13.65
2021-09-30,37.67,$3.14,12.0
2021-06-30,34.91,$3.40,10.27
2021-03-31,36.51,$3.20,11.41
2020-12-31,29.98,$2.84,10.56
2020-09-30,23.88,$2.59,9.22
2020-06-30,24.39,$2.38,10.25
2020-03-31,21.43,$2.45,8.75
2019-12-31,31.38,$2.55,12.31
2019-09-30,30.3,$2.48,12.22
2019-06-30,31.98,$2.37,13.49
2019-03-31,29.15,$2.29,12.73
2018-12-31,26.92,$1.96,13.74
2018-09-30,32.84,$1.04,31.58
2018-06-30,33.54,$0.72,46.59
2018-03-31,28.8,$0.49,58.77
2017-12-31,28.01,$0.52,53.87
2017-09-30,30.74,$1.25,24.59
2017-06-30,28.44,$1.29,22.05
2017-03-31,27.84,$1.11,25.08
2016-12-31,27.26,$0.82,33.24
2016-09-30,19.92,$0.57,34.95
2016-06-30,17.32,$0.32,54.13
2016-03-31,17.3,$0.13,133.11
2015-12-31,18.09,$0.15,120.6
2015-09-30,17.34,$0.10,173.41
2015-06-30,17.55,$0.13,135.0
2015-03-31,15.81,$0.22,71.85
2014-12-31,16.27,$0.22,73.94
2014-09-30,15.98,$0.18,88.79
2014-06-30,16.63,$0.12,138.57
2014-03-31,16.69,$0.13,128.42
2013-12-31,17.76,$0.14,126.83
2013-09-30,17.0,$0.18,94.45
2013-06-30,16.27,$0.01,1626.52
